#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_dosh_khaleen;The Dosh Khaleen;Le Dosh Khaleen;;;El Dosh Khaleen;;;;;;;;;x
c_vaes_evronee;Vaes Evronee;Vaes Evronee;;;Vaes Evronee;;;;;;;;;x
b_vaes_evronee;Vaes Evronee;Vaes Evronee;;;Vaes Evronee;;;;;;;;;x
b_vaes_evronee2;Vaes Evronee;Vaes Evronee;;;Vaes Evronee;;;;;;;;;x
b_vaes_evronee3;Vaes Evronee;Vaes Evronee;;;Vaes Evronee;;;;;;;;;x
b_vaes_evronee4;Vaes Evronee;Vaes Evronee;;;Vaes Evronee;;;;;;;;;x
d_vaes_leisi;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
c_vaes_leisi;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
b_vaes_leisi;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
b_vaes_leisi1;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
b_vaes_leisi2;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
b_vaes_leisi3;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
b_vaes_leisi4;Vaes Leisi;Vaes Leisi;;;Vaes Leisi;;;;;;;;;x
c_dofahkar;Dofahkar;Dofahkar;;;Dofahkar;;;;;;;;;x
b_dofahkar;Dofahkar;Dofahkar;;;Dofahkar;;;;;;;;;x
b_dofahkar1;Dofahkar;Dofahkar;;;Dofahkar;;;;;;;;;x
b_dofahkar2;Dofahkar;Dofahkar;;;Dofahkar;;;;;;;;;x
c_arfahkar;Arfahkar;Arfahkar;;;Arfahkar;;;;;;;;;x
b_arfahkar;Arfahkar;Arfahkar;;;Arfahkar;;;;;;;;;x
b_arfahkar1;Arfahkar;Arfahkar;;;Arfahkar;;;;;;;;;x
b_arfahkar2;Arfahkar;Arfahkar;;;Arfahkar;;;;;;;;;x
d_west_ifeqevron;West Ifeqevron;Ifeqevron Ouest;;;Ifequevron Oeste;;;;;;;;;x
c_chevrak;Chevrak;Chevrak;;;Chevrak;;;;;;;;;x
b_chevrak;Chevrak;Chevrak;;;Chevrak;;;;;;;;;x
b_chevrak1;Chevrak;Chevrak;;;Chevrak;;;;;;;;;x
b_chevrak2;Chevrak;Chevrak;;;Chevrak;;;;;;;;;x
c_walrus_point;Walrus Point;Pointe Morse;;;Punta Morsa;;;;;;;;;x
b_walrus_point;Walrus Point;Pointe Morse;;;Punta Morsa;;;;;;;;;x
b_walrus_point1;Walrus Point;Pointe Morse;;;Punta Morsa;;;;;;;;;x
b_walrus_point2;Walrus Point;Pointe Morse;;;Punta Morsa;;;;;;;;;x
d_east_ifeqevron;East Ifeqevron;Ifeqevron Est;;;Ifequevron Este;;;;;;;;;x
c_qevrak;Qevrak;Qevrak;;;Qevrak;;;;;;;;;x
b_qevrak;Qevrak;Qevrak;;;Qevrak;;;;;;;;;x
b_qevrak1;Qevrak;Qevrak;;;Qevrak;;;;;;;;;x
b_qevrak2;Qevrak;Qevrak;;;Qevrak;;;;;;;;;x
c_vaerakar;Vaerakar;Vaerakar;;;Vaerakar;;;;;;;;;x
b_vaerakar;Vaerakar;Vaerakar;;;Vaerakar;;;;;;;;;x
b_vaerakar1;Vaerakar;Vaerakar;;;Vaerakar;;;;;;;;;x
b_vaerakar2;Vaerakar;Vaerakar;;;Vaerakar;;;;;;;;;x
d_south_ifeqevron;South Ifeqevron;Ifeqevron Sud;;;Ifequevron Sur;;;;;;;;;x
c_maerakar;Maerakar;Maerakar;;;Maerakar;;;;;;;;;x
b_maerakar;Maerakar;Maerakar;;;Maerakar;;;;;;;;;x
b_maerakar1;Maerakar;Maerakar;;;Maerakar;;;;;;;;;x
b_maerakar2;Maerakar;Maerakar;;;Maerakar;;;;;;;;;x
c_qerr;Qerr;Qerr;;;Qerr;;;;;;;;;x
b_qerr;Qerr;Qerr;;;Qerr;;;;;;;;;x
b_qerr1;Qerr;Qerr;;;Qerr;;;;;;;;;x
b_qerr2;Qerr;Qerr;;;Qerr;;;;;;;;;x
CUSTOM_KHALASAR;[Root.GetFirstName] [Root.PrimaryTitle.GetTier];[Root.GetFirstName] [Root.PrimaryTitle.GetTier];;;[Root.GetFirstName] [Root.PrimaryTitle.GetTier];;;;;;;;;x
k_khalasar_1;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_2;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_3;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_4;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_5;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_6;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
k_khalasar_7;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_1;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_2;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_3;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_4;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_5;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_6;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_7;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_8;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_9;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_10;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_11;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_12;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_13;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_14;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_15;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_16;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_17;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_18;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_19;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_20;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_21;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_22;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_23;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_24;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_25;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_26;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_27;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_28;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_29;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
d_kha_30;The Dothraki;Les Dothrakis;;;Los Dothrakis;;;;;;;;;x
acquire_grazing_lands;Acquire Grazing Lands;Acquérir pâturage;;;Adquirir Pastizales;;;;;;;;;x
acquire_grazing_lands_desc;A Horde need lands so that the horses can graze, move your followers into the province of §Y$TITLE$§! So that we can graze them there.;Une horde a besoin de terres pour que les chevaux puissent brouter. Déplacez votre peuple jusqu'à la province de §Y$TITLE$§! pour qu'ils puisse se nourrir. ;;;Un Khalasar necesita tierras para que los caballos puedan pastar, mueve a tus seguidores a la provincia de §Y$TITLE$§! Allí podremos pastar.;;;;;;;;;x
CB_NAME_ACQUIRE_LANDS;Acquire Lands in [Title.GetName];Acquérir des terres à [Title.GetName];;;Adquirir Tierras en [Title.GetName];;;;;;;;;x
WAR_NAME_ACQUIRE_LANDS;$CLAIMANT$'s$ORDER$ Migration to $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ de $CLAIMANT$ $ORDER$ Migration de $OTHER_TITLE$ en $SECOND$;;;$ORDER$$FIRST_ADJ$ de $CLAIMANT$ $ORDER$ Adquisición de $OTHER_TITLE$ en $SECOND$;;;;;;;;;x
dothraki_invasion;Nomad Invasion;Invasion nomade;;;Invasión nómada ;;;;;;;;;x
dothraki_invasion_desc;This Casus Belli can be used by the Nomad Horselord §Y$CLAIMANT$§! to claim the lands §Y$TITLE$§! for their own.;Ce Casus Belli peut être utilisé par le seigneur du cheval nomade §Y$CLAIMANT$§! pour revendiquer les terres de §Y$TITLE$§! .;;;Este Casus Belli puede ser utilizado por §Y$CLAIMANT$§! para reclamar las tierras de §Y$TITLE$§! para si mismo.;;;;;;;;;x
CB_NAME_DOTHRAKI_INVASION;Nomad Invasion of [Title.GetName];Raid sur [Title.GetName];;;Incursión en [Title.GetName];;;;;;;;;x
WAR_NAME_DOTHRAKI_INVASION;$CLAIMANT$'s$ORDER$ War Against $DEFENDER$;$CLAIMANT$ de $ORDER$ Guerre contre $SECOND$;;;$CLAIMANT$ de $ORDER$ Guerra contra $SECOND$;;;;;;;;;x
dothraki_raid;Nomad Raid;Raid nomade;;;Incursión nómada;;;;;;;;;x
dothraki_raid_desc;Nomads must raid their neighbors to sustain themselves, so why not launch a raid on the province of §Y$TITLE$§!, sacking its cities and taking its people as slaves?;Les nomades doivent organiser des raids contre leurs voisins pour vivre, alors pourquoi ne pas lancer un raid contre la province de §Y$TITLE$§!, pour saccager ses cités et asservir sa population ?;;;Los nómadas deben robar a sus vecinos para mantenerse a sí mismos, así que ¿por qué no lanzar una incursión a la provincia de §Y$TITLE$§!, saqueando sus ciudades y tomando a su gente como esclavos?;;;;;;;;;x
CB_NAME_DOTHRAKI_RAID;Raid on [Title.GetName];Raid sur [Title.GetName];;;Incursión en [Title.GetName];;;;;;;;;x
WAR_NAME_DOTHRAKI_RAID;$CLAIMANT$'s$ORDER$ Raid of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ de $CLAIMANT$ $ORDER$ raid de $OTHER_TITLE$ sur $SECOND$;;;$ORDER$$FIRST_ADJ$ de $CLAIMANT$ $ORDER$ incursión de $OTHER_TITLE$ sur $SECOND$;;;;;;;;;x
dothraki_upgrade_to_khal;Declare Yourself Khal;Vous autoproclamer Khal;;;Autoproclamarse Khal;;;;;;;;;x
dothraki_upgrade_to_khal_desc;You have acquired enough lands and prestige to declare yourself Khal;Vous avez acquis assez de terres et de prestige pour prendre le titre de Khal;;;Has adquirido suficientes tierras y prestigio para declararte Khal;;;;;;;;;x
TOOLTIPdothraki_upgrade_to_khal;Your title will be upgraded to Khal tier\n;Votre titre passera au rang de Khal\n;;;Tu título será actualizado a nivel de Khal\n;;;;;;;;;x
dothraki_upgrade_to_khal_king;Declare Yourself Great Khal;Vous autoproclamer Grand Khal;;;Autoproclamarse Gran Khal;;;;;;;;;x
dothraki_upgrade_to_khal_king_desc;You have acquired enough lands and prestige to declare yourself to be a Great Khal;Vous avez acquis assez de terres et de prestige pour prendre le titre de Grand Khal;;;Has adquirido suficientes tierras y prestigio para declararte como Gran Khal;;;;;;;;;x
TOOLTIPdothraki_upgrade_to_khal_king;Your title's tier will be upgraded\n;Le rang de votre titre augmentera\n;;;Tu título será actualizado a nivel de Gran Khal\n;;;;;;;;;x
dothraki_internal_migrate;Migrate to Liege's Lands;Migrer vers les terres de votre seigneur;;;Migrar a Tierras de tu vasallo;;;;;;;;;x
dothraki_internal_migrate_desc;As you lack grazing lands of your own you can move into your liege's grazing lands;Puisque vous manquez de pâturages, vous pouvez migrer vers ceux de votre seigneur;;;Como careces de tierras de pastoreo propias puedes migrar a las tierras de pastoreo de tu Señor;;;;;;;;;x
TOOLTIPdothraki_internal_migrate;[Root.PrimaryTitle.GetFullName] will migrate to [This.GetName];[Root.PrimaryTitle.GetFullName] va migrer vers [This.GetName];;;[Root.PrimaryTitle.GetFullName] migrará a [This.GetName];;;;;;;;;x
send_tribute_to_dosh_kaleen;Send Spoils of War to Dosh Kaleen;Envoyer le butin de guerre au Dosh khaleen;;;Enviar botín de guerra al Dosh Kaleen;;;;;;;;;x
send_tribute_to_dosh_kaleen_desc;Traditionally the plunder gained from the Dothraki's wars are sent to the great city of Vaes Dothrak, where they may serve as testament to the might of the Dothraki.;Traditionnellement, le butin remporté lors des guerres dothrakies est envoyé à la grande cité de Vaes Dothrak, où il peut servir de preuve de la puissance des dothrakis.;;;Tradicionalmente, el botín obtenido en las guerras de los Dothraki, se envía a la gran ciudad de Vaes Dothrak, donde sirven de testimonio del poderío Dothraki.;;;;;;;;;x
dothraki_dosh_kaleen_tribute;Sent Tribute to Vaes Dothrak;Envoyer un tribut à Vaes Dothrak;;;Enviar un tributo a Vaes Dothrak;;;;;;;;;x
dothraki;Dothraki;Dothraki;;;Dothraki;;;;;;;;;x
dothraki_desc;This character is a Dothraki, a culture of nomadic warriors.;Ce personnage est un dothraki, une culture de guerriers nomades.;;;Este personaje es un Dothraki, una cultura de guerreros nómadas.;;;;;;;;;x
dosh_khaleen;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
dosh_khaleen_desc;This character is a former Khaleesi, widow to a great Khal. She was sent to Vaes Dothrak upon her husbands death to serve in the Dosh Khaleen.;Ce personnage est une ancienne khaleesi, veuve d'un grand khal. Elle a été envoyée à Vaes Dothrak après la mort de son mari pour servir le Dosh Khaleen.;;;Este personaje fue una Khaleesi, viuda de un gran Khal. Fue enviada a Vaes Dothrak cuando murío su marido para servir al Dosh Khaleen.;;;;;;;;;x
EVTDESCDOTHRAKI100;The [Root.PrimaryTitle.GetFullName] has no riders or followers, you are a [Root.GetTitle] in name only.;Le [Root.PrimaryTitle.GetFullName] n'a ni chevaucheurs, ni femmes, ni enfants ou esclaves, vous n'avez de [Root.GetTitle] que le nom.;;;El [Root.PrimaryTitle.GetFullName] no tiene ni jinetes ni seguidores, eres un [Root.GetTitle] únicamente por el nombre.;;;;;;;;;x
EVTOPTADOTHRAKI100;[Root.Religion.GetRandomGodNameCap] does not favour me;[Root.Religion.GetRandomGodNameCap] n'est pas de mon côté.;;;[Root.Religion.GetRandomGodNameCap] no está de mi lado;;;;;;;;;x
EVTTOOLTIPDOTHRAKI101;[This.GetTitledFirstName] will lose all their lands;[This.GetTitledFirstName] va perdre toutes ses terres;;;[This.GetTitledFirstName] perderá todas sus tierras;;;;;;;;;x
EVTOPTBDOTHRAKI100;My [Root.Liege.GetTitle] will surely grant me men to lead;Mon [Root.Liege.GetTitle] va sûrement m'offrir un khas à diriger;;;Mi [Root.Liege.GetTitle] seguramente me otorgue un khas para dirigirlo;;;;;;;;;x
EVTTOOLTIPDOTHRAKI103;will consider your request;va considérer votre requête;;;considerará tu solicitud;;;;;;;;;x
EVTDESCDOTHRAKI101;You have a lost your final band of riders, you can no longer defend or keep your lands;Vous avez perdu votre dernière bande de cavaliers, vous ne pouvez plus défendre ou conserver vos terres;;;Has perdido tu último grupo de jinetes, ya no puedes defender o mantener tus tierras;;;;;;;;;x
EVTOPTADOTHRAKI101;The shame...;Quelle honte…;;;Que vergüenza...;;;;;;;;;x
dothraki.101TOOLTIP;Your lands will become unoccupied domains;Vos terres vont devenir des domaines inoccupés;;;Tus tierras se convertirán en dominios no ocupados;;;;;;;;;x
EVTDESCDOTHRAKI102;[From.GetTitledFirstName] has lost [From.GetHerHis] riders, the [From.PrimaryTitle.GetFullName] is empty.;[From.GetTitledFirstName] a perdu ses cavaliers il n'y a plus personne dans son [From.PrimaryTitle.GetFullName].;;;[From.GetTitledFirstName] ha perdido sus jinetes, el [From.PrimaryTitle.GetFullName] esta vacío.;;;;;;;;;x
EVTOPTADOTHRAKI102;[From.GetSheHeCap] is a disgrace;[From.GetSheHeCap] connaît le déshonneur;;;[From.GetSheHeCap] es una deshonra;;;;;;;;;x
EVTDESCDOTHRAKI103;[From.GetFirstName], one of your [From.GetTitle]s, currently holds grazing lands but has no riders to lead. [From.GetSheHeCap] will need to be granted riders to keep these lands.;[From.GetFirstName], l'un(e) de vos [From.GetTitle]s, détient actuellement des pâturages mais n'a aucun cavalier à mener. [From.GetSheHeCap] a besoin qu'on lui octroie des chevaucheurs pour pouvoir conserver ses terres.;;;[From.GetFirstName], uno de tus [From.GetTitle], actualmente ocupa unas tierras de pastoreo, pero no tiene jinetes para cabalgar por ellas.  Necesita que le concedamos jinetes para mantener estas tierras.;;;;;;;;;x
EVTOPTADOTHRAKI103;Yes, [From.GetSheHe] will honour me;Oui, [From.GetSheHe] m'en sera reconnaissant(e);;;Si, [From.GetSheHe] me honrará;;;;;;;;;x
EVTOPTBDOTHRAKI103;No, [From.GetSheHe] cannot lead;Non, [From.GetSheHe] ne peut pas diriger;;;No, [From.GetSheHe] no sabría liderarlos;;;;;;;;;x
EVTTOOLTIPDOTHRAKI1;[This.GetTitledFirstName] will lose one Khalasar level;[This.GetTitledFirstName] va perdre un niveau de  khalasar;;;[This.GetTitledFirstName] perderá un nivel del Khalasar;;;;;;;;;x
EVTTOOLTIPDOTHRAKI0;[This.GetTitledFirstName] will gain one Khalasar level;[This.GetTitledFirstName] va gagner un niveau de  khalasar;;;[This.GetTitledFirstName] ganará un nivel del Khalasar;;;;;;;;;x
EVTDESCDOTHRAKI200;I am now a [Root.GetTitle] in my own right, no longer obliged to follow any man but myself. I will ride wherever I choose.;Je suis désormais un [Root.GetTitle], je n'ai plus de compte à rendre à personne et je ne suis plus obligé de suivre qui que ce soit. Je chevaucherai là où je veux.;;;Ahora soy un [Root.GetTitle] por derecho propio, ya no estoy obligado a seguir a ningún hombre, sino a mí mismo. Cabalgaré donde yo quiera.;;;;;;;;;x
EVTOPTADOTHRAKI200;My name will be feared;Mon nom sera craint.;;;Mi nombre será temido;;;;;;;;;x
TOOLTIPdothraki.200A;Your Khalasar and family name will be named after you, [Root.GetTitledFirstName]\n;Votre Khalasar et votre nom famille seront nommés d'après vous, [Root.GetTitledFirstName]\n;;;Tu Khalasar y tu apellido llevarán tu nombre, [Root.GetTitledFirstName]\n;;;;;;;;;x
EVTOPTBDOTHRAKI200;I will honour my father's name;J'honorerai le nom de mon père;;;Honraré el nombre de mi padre;;;;;;;;;x
TOOLTIPdothraki.200B;Your Khalasar and family name will stay named for [Root.GetOnlyDynastyName]\n;Votre khalasar et votre nom de famille resteront nommés [Root.GetOnlyDynastyName]\n;;;Tu Khalasar y tu apellido llevarán el nombre de [Root.GetOnlyDynastyName]\n;;;;;;;;;x
EVTDESCDOTHRAKI201;Your kinsman [From.GetTitledFirstName] has acquired many followers, the [From.PrimaryTitle.GetFullName] now ride under [From.GetHerHis] name.;Votre parent [From.GetTitledFirstName] a rassemblé de nombreux guerriers avec leurs familles et esclave, le [Root.PrimaryTitle.GetFullName] chevauche désormais sous son propre nom.;;;Tu pariente [From.GetTitledFirstName] ha reunido muchos guerreros con sus familias y esclavos, el [Root.PrimaryTitle.GetFullName] ahora cabalga con su nombre.;;;;;;;;;x
EVTDESCDOTHRAKI300;[Root.Capital.GetName] has become overgrazed;[Root.Capital.GetName] a été surpâturée;;;[Root.GetName] ha pastoreado en exceso;;;;;;;;;x
EVTOPTADOTHRAKI300;Perhaps we should ride to better pastures...;Peut-être devrions-nous chevaucher vers de meilleurs pâturages…;;;Tal vez deberíamos ir a mejores pastos...;;;;;;;;;x
asoiaf_overgrazed;Overgrazed;Surpâturage;;;Sobrepastoreo;;;;;;;;;x
EVTDESCDOTHRAKI400;My name and deeds are becoming highly spoken of throughout the [Root.Culture.GetName] Sea, more and more warriors are joining the [Root.PrimaryTitle.GetFullName].;Mon nom et mes exploits sont devenus fameux à travers toute la mer [Root.Culture.GetName], de plus en plus de guerriers rejoignent le [Root.PrimaryTitle.GetFullName].;;;Mi nombre y mis hazañas se están haciendo famosas por todo el mar [Root.Culture.GetName], más y más guerreros se unen al [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTADOTHRAKI400;All shall submit to me;Tous devront se soumettre à moi.;;;Todos deberán someterse a mí.;;;;;;;;;x
asoiaf_emerging_khalasar;Emerging Khalasar;Khalasar émergent;;;Khalasar Emergente;;;;;;;;;x
EVTDESCDOTHRAKI402;Your [From.GetRootRelation] [From.GetFirstName] has become angry and disillusioned with your leadership, and has taken a band of like minded riders from your [Root.PrimaryTitle.GetTier] and founded [From.GetHerHis] own.;Votre [From.GetRootRelation] [From.GetFirstName] est déçu par la façon dont vous mener vos hommes.  En colère, il a réuni un groupe de cavaliers qui partagent son avis et a quitté votre [Root.PrimaryTitle.GetTier] pour fonder le sien.;;;Tu [From.GetRootRelation] [From.GetFirstName] está decepcionado por la forma en que diriges a tus hombres.  Enfadado, ha reunido un grupo de jinetes que comparten su opinión y ha dejado tu [Root.PrimaryTitle.GetTier] para fundar el suyo.;;;;;;;;;x
TOOLTIPdothraki.402;[This.GetTitledFirstName] takes a band of your riders and founds their own army\n;[This.GetTitledFirstName] prend une partie de vos cavalier et fonde sa propre armée\n;;;[This.GetTitledFirstName] se lleva una parte de tus jinetes y funda su propio Khalasar\n;;;;;;;;;x
DOTHRAKI_ADVENTURE;[PrevPrev.GetFirstName]'s [Root.TopLiege.PrimaryTitle.GetTier];[Root.TopLiege.PrimaryTitle.GetTier] de [PrevPrev.GetFirstName];;;[Root.TopLiege.PrimaryTitle.GetTier] de [PrevPrev.GetFirstName];;;;;;;;;x
EVTDESCDOTHRAKI403;The [Root.PrimaryTitle.GetFullName] is starving!;Le [Root.PrimaryTitle.GetFullName] est en train de mourir de faim !;;;El [Root.PrimaryTitle.GetFullName] está hambriento!;;;;;;;;;x
EVTOPTADOTHRAKI403;My riders must have their rations cut;Mes cavaliers vont voir leurs rations réduites;;;Mis jinetes deberán reducir sus raciones;;;;;;;;;x
EVTOPTBDOTHRAKI403;The slaves are expendable;Les esclaves ne sont pas essentiels;;;Los esclavos son prescindibles;;;;;;;;;x
EVTTOOLTIPSLAVERY1001DOTH403;You will lose two levels of slave camp;Vous allez perdre deux niveaux de camp d'esclaves;;;Perderás dos niveles del Campo de Esclavos;;;;;;;;;x
EVTDESCDOTHRAKI404;Many of your vassals and riders have become agitated with the lack of grazing lands for the horses and feel we should try and find better lands.;Beaucoup de vos vassaux et de vos chevaucheurs sont inquiets du manque de pâturage pour les chevaux et pensent que nous devrions chercher de meilleures terres.;;;Muchos de tus jinetes están inquietos por la falta de tierras de pastoreo para los caballos y piensan que deberíamos tratar de encontrar mejores tierras.;;;;;;;;;x
EVTOPTADOTHRAKI404;I'll inspire them with fierce words;Je vais les motiver avec un discours;;;Los inspiraré con un discurso feroz.;;;;;;;;;x
EVTOPTBDOTHRAKI404;I'll appease them with gifts;Je vais les apaiser avec des présents;;;Los apaciguaré con regalos.;;;;;;;;;x
EVTOPTCDOTHRAKI404;What can I do?;Qu'est-ce que je peux faire ?;;;Qué puedo hacer?;;;;;;;;;x
opinion_khal_overgraze;Liege Cannot Find Grazing Lands;Le seigneur ne peut pas trouver de pâturages;;;El señor no puede encontrar pastizales;;;;;;;;;x
EVTOPTDDOTHRAKI404;I will prove myself with my Arakh!;Mon arakh prouvera ma valeur !;;;mi Arakh demostrará mi valor!;;;;;;;;;x
TOOLTIPdothraki.405;You will duel [This.GetTitledFirstName] to prove yourself a capable leader;Vous allez provoquer en duel [This.GetTitledFirstName] pour prouver à tous que vous êtes capable de diriger;;;Combatirás en duelo contra [This.GetTitledFirstName] para demostrar que eres un líder capaz;;;;;;;;;x
EVTDESCDOTHRAKI500;You decided that the [Root.PrimaryTitle.GetFullName] should move on to new pastures so that our horses remain well fed, and now we have finally arrived at your chosen destination.;Vous avez décidé que le [Root.PrimaryTitle.GetFullName] devait se déplacer vers de nouveaux pâturages pour que vos chevaux continuent à être bien nourris, et nous venons enfin d'arriver là où nous voulions nous rendre.;;;Decidiste que el [Root.PrimaryTitle.GetFullName] se desplazase a nuevos pastos para que los caballos permanezcan alimentados, y por fin hemos llegado al destino elegido.;;;;;;;;;x
TOOLTIPMOVECAMP;The [Root.PrimaryTitle.GetFullName] moves to [This.GetName];Le [Root.PrimaryTitle.GetFullName] s'installe à [This.GetName];;;El [Root.PrimaryTitle.GetFullName] se desplaza a [This.GetName];;;;;;;;;x
EVTDESCDOTHRAKI501;The [Root.PrimaryTitle.GetFullName] must all follow you in the same province;Le [Root.PrimaryTitle.GetFullName] doit vous suivre dans une seule et même province;;;El [Root.PrimaryTitle.GetFullName] tiene que seguir en la misma provincia;;;;;;;;;x
EVTDESCDOTHRAKI601;[Root.PrimaryTitle.GetFOA], a brave rider has founded a their own Khalasar near your lands in [From.GetName].;[Root.PrimaryTitle.GetFOA], un brave cavalier a fondé son propre khalasar près de vos terres à [From.GetName].;;;[Root.PrimaryTitle.GetFOA], un valiente jinete ha fundado su propio Khalasar cerca de sus tierras en [From.GetName].;;;;;;;;;x
EVTDESCdothraki.603;Our riders have finally arrived in the unclaimed pastures of [From.GetName], adding these lands to your domain.;Nos cavaliers sont enfin arrivés sur les pâturages non revendiqués de [From.GetName], ajoutant ainsi ses terres à notre domaine.;;;Nuestros jinetes han llegado finalmente a los pastos no reclamados de [From.GetName], añadiremos estas tierras a nuestro dominio.;;;;;;;;;x
EVTDESCdothraki.607;The [From.Culture.GetName] horselord [From.GetTitledFirstName] has launched a raid on our lands. But if it's plunder they seek perhaps we can try and placate them with a tribute?;Le seigneur du cheval [From.Culture.GetName] [From.GetTitledFirstName] a lancé un raid sur nos terres. Mais si les dothrakis cherchent du butin, peut-être arriverons nous à les détourner en leur offrant un tribut ?;;;El [From.Culture.GetName] [From.GetTitledFirstName] ha lanzado una incursión a nuestras tierras. Pero si es saqueo lo único que buscan, tal vez podamos tratar de aplacarlos con un tributo?;;;;;;;;;x
EVTOPTAdothraki.607;Yes, offer them great gifts;Oui, offrez leur un grand présent.;;;Sí, ofrecerles grandes regalos.;;;;;;;;;x
TOOLTIPdothraki.608;Will consider your offer of tribute;Va réfléchir à votre offre de tribut;;;Considerará tu oferta de tributo.;;;;;;;;;x
EVTOPTBdothraki.607;No, I will drive these savages from the realm!;Non, je vais repousser ces sauvages !;;;No, echaré a estos salvajes del Reino!;;;;;;;;;x
EVTOPTCdothraki.607;Yes, they like exchanging slaves for gifts;Oui, ils aiment échanger des esclaves contre des présents.;;;Sí, les gusta el intercambio de esclavos por regalos.;;;;;;;;;x
EVTOPTDdothraki.607;I will offer him a fair [Root.GetOnlyDynastyName] maiden;;;;Le ofreceré una doncella [Root.GetOnlyDynastyName];;;;;;;;;x
TOOLTIPdothraki.607DAUGHTER;[This.GetTitledFirstName] is offered to [From.GetTitledFirstName]. If [From.GetTitledFirstName] is already married she will merely become his concubine.;;;;[This.GetTitledFirstName] es ofrecida a [From.GetTitledFirstName]. Si [From.GetTitledFirstName] ya está casado ella se convertirá en su concubina.;;;;;;;;;x
TOOLTIPdothraki.1011;Will consider your offer of tribute in return for slaves;va réfléchir à votre proposition de tribut contre des esclaves.;;;considerará tu oferta de tributo a cambio de esclavos.;;;;;;;;;x
