#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
give_longclaw_snow_to_son_desc;I will pass on Longclaw to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Grand-Griffe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Garra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_blackfyre_to_son;Grant Blackfyre;Donner Feunoyr;;;Ceder Fuegoscuro;;;;;;;;;x
give_blackfyre_to_son_desc;I will pass on Blackfyre to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Feunoyr à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Fuegoscuro a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_brightroar_to_son;Grant Brightroar;Donner Rugissante;;;Ceder Rugido;;;;;;;;;x
give_brightroar_to_son_desc;I will pass on Brightroar to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Rugissante à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Rugido a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_heartsbane_to_son;Grant Heartsbane;Donner Corvenin;;;Ceder Veneno de Corazón;;;;;;;;;x
give_heartsbane_to_son_desc;I will pass on Heartsbane to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Corvenin à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Veneno de Corazón a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_nightfall_to_son;Grant Nightfall;Donner Crépuscule;;;Ceder Anochecer;;;;;;;;;x
give_nightfall_to_son_desc;I will pass on Nightfall to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Crépuscule à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Anochecer a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_darksister_to_son;Grant Dark Sister;Donner Noire Sœur;;;Ceder Hermana Oscura;;;;;;;;;x
give_darksister_to_son_desc;I will pass on Dark Sister to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Noire Soeur à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Hermana Oscura a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_strangers_mercy_to_son;Grant Stranger's Mercy;Donner Mort-Merci;;;Ceder Misericordia del Desconocido;;;;;;;;;x
give_strangers_mercy_to_son_desc;I will pass on Stranger's Mercy to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Mort-Merci à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Misericordia del Desconocido a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
TOOLTIPLADYFORLORNWIELDER;[This.GetFirstNameWithDynasty] wields §YLady Forlorn§!\n;[This.GetFirstNameWithDynasty] manie §YDame Affliction§!\n;;;[This.GetFirstNameWithDynasty] blande a §YDama Desesperada§!\n;;;;;;;;;x
TOOLTIPRECLAIMLADYFORLORNWAR;[This.GetFirstNameWithDynasty] shall surrender §YLady Forlorn§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YDame Affliction§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YDama Desesperada§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPREDRAINWIELDER;[This.GetFirstNameWithDynasty] wields §YRed Rain§!\n;[This.GetFirstNameWithDynasty] manie §YPluie Pourpre§!\n;;;[This.GetFirstNameWithDynasty] blande a §YLluvia Roja§!\n;;;;;;;;;x
TOOLTIPRECLAIMREDRAINWAR;[This.GetFirstNameWithDynasty] shall surrender §YRed Rain§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YPluie Pourpre§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YLluvia Roja§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPCRABSPINCERWIELDER;[This.GetFirstNameWithDynasty] wields §YCrab's Pincer§!\n;[This.GetFirstNameWithDynasty] manie §YPince-Crabe§!\n;;;[This.GetFirstNameWithDynasty] blande a §YPinza de Cangrejo§!\n;;;;;;;;;x
TOOLTIPRECLAIMCRABSPINCERWAR;[This.GetFirstNameWithDynasty] shall surrender §YCrab's Pincer§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YPince-Crabe§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YPinza de Cangrejo§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
give_ladyforlorn_to_son;Grant Lady Forlorn;Donner Dame Affliction;;;Ceder Dama Desesperada;;;;;;;;;x
give_ladyforlorn_to_son_desc;I will pass on Lady Forlorn to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Dame Affliction à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Dama Desesperada a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_redrain_to_son;Grant Red Rain;Donner Pluie Pourpre;;;Ceder Lluvia Roja;;;;;;;;;x
give_redrain_to_son_desc;I will pass on Red Rain to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Pluie Pourpre à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Lluvia Roja a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_crabspincer_to_son;Grant Crab's Pincer;Donner Pince-Crabe;;;Ceder Pinza de Cangrejo;;;;;;;;;x
give_crabspincer_to_son_desc;I will pass on Crab's Pincer to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Pince-Crabe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Pinza de Cangrejo a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
TOOLTIPWIDOWSWAILWIELDER;[This.GetFirstNameWithDynasty] wields §YWidow's Wail§!\n;[This.GetFirstNameWithDynasty] manie §YPleurs-de-Veuve§!\n;;;[This.GetFirstNameWithDynasty] blande a §YLamento de Viuda§!\n;;;;;;;;;x
TOOLTIPRECLAIMWIDOWSWAILWAR;[This.GetFirstNameWithDynasty] shall surrender §YWidow's Wail§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YPleurs-de-Veuve§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YLamento de Viuda§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPOATHKEEPERWIELDER;[This.GetFirstNameWithDynasty] wields §YOathkeeper§!\n;[This.GetFirstNameWithDynasty] manie §YFéale§!\n;;;[This.GetFirstNameWithDynasty] blande a §YGuardajuramentos§!\n;;;;;;;;;x
TOOLTIPRECLAIMOATHKEEPERWAR;[This.GetFirstNameWithDynasty] shall surrender §YOathkeeper§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YFéale§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YGuardajuramentos§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPREREFORGEWIDOWSWAILWAR;[This.GetFirstNameWithDynasty] shall surrender §YWidow's Wail§! To §Y[Root.GetFirstNameWithDynasty]§!, which shall be reforged into §YIce§!\n;[This.GetFirstNameWithDynasty] livrera §Pleurs-de-Veuve§! To §Y[Root.GetFirstNameWithDynasty]§!, qui sera reforgée pour redevenir §YGlace§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YLamento de Viuda§! a §Y[Root.GetFirstNameWithDynasty]§!, para que sea reforjada a §YHielo§!\n;;;;;;;;;x
TOOLTIPREREFORGEOATHKEEPERWAR;[This.GetFirstNameWithDynasty] shall surrender §YOathkeeper§! To §Y[Root.GetFirstNameWithDynasty]§!, which shall be reforged into §YIce§!\n;[This.GetFirstNameWithDynasty] livrera §YFéale§! To §Y[Root.GetFirstNameWithDynasty]§!, qui sera reforgée pour redevenir §YGlace§!\n;;;[This.GetFirstNameWithDynasty] deberán entregar a §YGuardajuramentos§! A §Y[Root.GetFirstNameWithDynasty]§!, para que sea reforjada a §YHielo§!\n;;;;;;;;;x
give_widowswail_to_son;Grant Widow's Wail;Donner Pleurs-de-Veuve;;;Ceder Lamento de Viuda;;;;;;;;;x
give_widowswail_to_son_desc;I will pass on Widow's Wail to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Pleurs-de-Veuve à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Lamento de Viuda a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_oathkeeper_to_son;Grant Oathkeeper;Donner Féale;;;Ceder Guardajuramentos;;;;;;;;;x
give_oatkeeper_to_son_desc;I will pass on Oathkeeper to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Féale à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Guardajuramentos a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
plot_steal_valyrian_sword_short;Steal a Valyrian Sword;Voler une épée valyrienne;;;Robar una espada de acero Valyrio;;;;;;;;;x
plot_steal_valyrian_sword_title;Steal the Valyrian Sword of [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Voler l'épée valyrienne de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Robar la espada de acero valyrio de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
plot_steal_valyrian_sword_desc;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] wants to obtain the Valyrian sword of [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] at all costs.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] veut obtenir l'épée valyrienne de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] à n'importe quel prix.;;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] quiere obtener la espada de acero valyrio de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a cualquier precio.;;;;;;;;;x
EVTDESC250280;"With the traitor Eddard Stark executed, his ancient Valyrian greatsword ""Ice"" is now in our possession. This would be an excellent opportunity to create new dynastic blades for House Lannister, since our own sword ""Brightroar"" was lost in the ruins of old Valyria. To the victors go the spoils!";Suite à l’exécution du félon Eddard Stark, son antique épée valyrienne Glace est désormais en notre possession. Ce pourrait être une excellente opportunité de forger de nouvelles épées dynastiques pour la Maison Lannister, puisque notre propre épée Rugissante a été perdue dans les ruines de l’Antique Valyria. Au vainqueur va le butin !;;;"Con el traidor Eddard Stark ejecutado, su antiguo mandoble de acero valyrio ""Hielo"" está en nuestro poder. Podría ser una excelente oportunidad para forjar nuevas espadas dinásticas de la Casa Lannister, ya que nuestra propia espada ""Rugido"" se perdió en las ruinas de la antigua Valyria. Para los vencedores  el botín!";;;;;;;;;x
EVTOPTA250280;Reforge the blade in the image of House Lannister!;Reforger l'épée à l'image de la Maison Lannister ! ;;;Reforjar la espada a la imagen de la Casa Lannister!;;;;;;;;;x
EVTOPTB250280;Keep the sword as it is.;Garder l'épée telle qu'elle est.;;;Mantener la espada como está.;;;;;;;;;x
TOOLTIPEVTOPTB250280;No effect.;Sans effet.;;;Sin efectos.;;;;;;;;;x
EVTDESC250281;A dubious merchant from across the Narrow Sea approaches you and offers you an ancient and genuine Valyrian steel sword for a kingly sum of gold dragons.;Un douteux marchand venu d’au-delà du Détroit se présente à vous pour vous proposer une ancienne et véritable épée en acier valyrien en échange d’une petite fortune en dragons d’or.;;;Un mercader de dudosa confianza proveniente del otro lado del Mar Angosto se te acerca y te ofrece una antigua y genuina espada de acero valyrio por una gran suma de dragones de oro.;;;;;;;;;x
EVTOPTA250281;Genuine Valyrian steel? Are you trying to fool me, merchant?!;En véritable acier valyrien? Ne serais-tu pas en train de te moquer de moi, marchand ?!;;;Acero valyrio genuino? ¿Estás tratando de engañarme, mercader?!;;;;;;;;;x
TOOLTIP250281B;Suspecting treachery, you pay to have an expert inspect the valyrian steel before paying. If it is real you will pay 750¤for it.;;;xSospechando la traición, pagas para que un experto inspeccione el acero valyrio antes de pagar. Si es real, pagarás 750¤ por ello.;;;;;;;;;;x
EVTOPTB250281;Buy it!;L'acheter !;;;¡Cómprala!;;;;;;;;;x
TOOLTIP250281;You trust the merchant and pay for the valyrian steel, in the hope it's real...;;;Confías en el comerciante y pagas por el acero valyrio, con la esperanza de que sea real...;;;;;;;;;;x
EVTOPTC250281;We cannot afford this.;Nous ne pouvons nous permettre pareille dépense;;;No nos podemos permitir semejante desembolso.;;;;;;;;;x
EVTDESC250282;Upon closer inspection of the blade you notice several flaws and irregularities in the steel. This merchant is a fraud!;Une inspection plus poussée de la lame vous a révélé des défauts et des irrégularités dans l'acier. Ce marchand est un escroc !;;;Tras una inspección más cercana de la espada se observan varios errores e irregularidades en el acero. Este mercader es un estafador!;;;;;;;;;x
EVTOPTA250282;Guards, seize this man and throw him into the dungeon!;Gardes, emparez-vous de cet homme et jetez-le au cachot ! ;;;Guardias, prended a este hombre y encerradlo en el calabozo!;;;;;;;;;x
EVTOPTB250282;Banish the merchant from your lands.;Bannir le marchand de vos terres.;;;Desterrar al mercader de tus tierras.;;;;;;;;;x
EVTDESC250283;As your guards try to get a hold of the unscrupulous merchant, he is nowhere to be found.;Vos gardes ont tenté de mettre la main sur le marchand sans scrupule, mais il est introuvable. ;;;Los guardias trataron de capturar al mercader sin escrúpulos, pero no pudo ser encontrado...;;;;;;;;;x
EVTOPT250283;Curses!;Malédiction !;;;Maldición!;;;;;;;;;x
EVTDESC250284;The merchant has handed over the valyrian steel in exchange for the gold, and it does appear to be the real thing!;;;;;;;;;;;;;x
EVTOPT250284;A fine heirloom for House [Root.GetOnlyDynastyName]!;;;¡Una hermosa reliquia para la Casa [Root.GetOnlyDynastyName]!;;;;;;;;;;x
TOOLTIPEVTOPTA250282;The merchant is imprisoned.;Le marchand est emprisonné.;;;El mercader es encarcelado.;;;;;;;;;x
TOOLTIPEVTOPTB250282;The merchant is thrown out of the castle.;Le marchand est mis à la porte du château.;;;El comerciante es arrojado fuera del castillo.;;;;;;;;;x
TOOLTIP250282C;The merchant escapes with the gold;;;El mercader escapa con el oro;;;;;;;;;;x
TOOLTIPANGERWIELDER;[This.GetFirstNameWithDynasty] wields §YMother's Grief§!\n;[This.GetFirstNameWithDynasty] manie §YIre§!\n;;;[This.GetFirstNameWithDynasty] blande a §YDuelo de la Madre§!\n;;;;;;;;;x
TOOLTIPBLACK_DEATHWIELDER;[This.GetFirstNameWithDynasty] wields §YBlack Death§!\n;[This.GetFirstNameWithDynasty] manie §YMort-Noire§!\n;;;[This.GetFirstNameWithDynasty] blande a §YMuerte Negra§!\n;;;;;;;;;x
TOOLTIPCOMPASSIONWIELDER;[This.GetFirstNameWithDynasty] wields §YGlory§!\n;[This.GetFirstNameWithDynasty] manie §YCompassion§!\n;;;[This.GetFirstNameWithDynasty] blande a §YGloria§!\n;;;;;;;;;x
TOOLTIPCONCESSIONWIELDER;[This.GetFirstNameWithDynasty] wields §YSkinpeeler§!\n;[This.GetFirstNameWithDynasty] manie §Yepluche-peau§!\n;;;[This.GetFirstNameWithDynasty] blande a §YDesolladora§!\n;;;;;;;;;x
TOOLTIPDEL_PINOWIELDER;[This.GetFirstNameWithDynasty] wields §YDel Pino§!\n;[This.GetFirstNameWithDynasty] manie §YBrise-Pin§!\n;;;[This.GetFirstNameWithDynasty] blande a §YQuebrantapinos§!\n;;;;;;;;;x
TOOLTIPEL_SWORDOWIELDER;[This.GetFirstNameWithDynasty] wields §YGoodsword§!\n;[This.GetFirstNameWithDynasty] manie §YFleuret§!\n;;;[This.GetFirstNameWithDynasty] blande a §YBuenaspada§!\n;;;;;;;;;x
TOOLTIPGOLD_SWORDWIELDER;[This.GetFirstNameWithDynasty] wields §YDornish Kiss§!\n;[This.GetFirstNameWithDynasty] manie §YOr§!\n;;;[This.GetFirstNameWithDynasty] blande a §YBeso Dorniense§!\n;;;;;;;;;x
TOOLTIPHAPPYNESSWIELDER;[This.GetFirstNameWithDynasty] wields §YFather's Fury§!\n;[This.GetFirstNameWithDynasty] manie §YJoie§!\n;;;[This.GetFirstNameWithDynasty]blande a §YFuria del Padre§!\n;;;;;;;;;x
TOOLTIPHUBRISWIELDER;[This.GetFirstNameWithDynasty] wields §YTalon§!\n;[This.GetFirstNameWithDynasty] manie §YHubris§!\n;;;[This.GetFirstNameWithDynasty] blande a §YOrgullo Desmesurado§!\n;;;;;;;;;x
TOOLTIPJUSTICEWIELDER;[This.GetFirstNameWithDynasty] wields §YJade§!\n;[This.GetFirstNameWithDynasty] manie §YJustice§!\n;;;[This.GetFirstNameWithDynasty] blande a §YJade§!\n;;;;;;;;;x
TOOLTIPKINGMAKERWIELDER;[This.GetFirstNameWithDynasty] wields §YKingmaker§!\n;[This.GetFirstNameWithDynasty] manie §YFaiseuse-de-Roi§!\n;;;[This.GetFirstNameWithDynasty] blande a §YHacedora de Reyes§!\n;;;;;;;;;x
TOOLTIPPASSIONWIELDER;[This.GetFirstNameWithDynasty] wields §YPassion§!\n;[This.GetFirstNameWithDynasty] manie §YPassion§!\n;;;[This.GetFirstNameWithDynasty] blande a §YPasión§!\n;;;;;;;;;x
TOOLTIPRAGEWIELDER;[This.GetFirstNameWithDynasty] wields §YStranger's Touch§!\n;[This.GetFirstNameWithDynasty] manie §YRage§!\n;;;[This.GetFirstNameWithDynasty] blande a §YToque del Desconocido§!\n;;;;;;;;;x
TOOLTIPSIGHTBLINDERWIELDER;[This.GetFirstNameWithDynasty] wields §YMourning Mace§!\n;[This.GetFirstNameWithDynasty] manie §YVoyante§!\n;;;[This.GetFirstNameWithDynasty] blande a §YMaza del Luto§!\n;;;;;;;;;x
TOOLTIPTHE_MONARCHISTWIELDER;[This.GetFirstNameWithDynasty] wields §YTitan's Bite§!\n;[This.GetFirstNameWithDynasty] manie §Yla Monarchiste§!\n;;;[This.GetFirstNameWithDynasty] blande a §YMordisco del Titán§!\n;;;;;;;;;x
TOOLTIPTHE_USURPERWIELDER;[This.GetFirstNameWithDynasty] wields §YDragonbane§!\n;[This.GetFirstNameWithDynasty] manie §Yl'Usurpatrice§!\n;;;[This.GetFirstNameWithDynasty] blande a §YVenganza de Dragón§!\n;;;;;;;;;x
TOOLTIPWORLDEATERWIELDER;[This.GetFirstNameWithDynasty] wields §YFinger Eater§!\n;[This.GetFirstNameWithDynasty] manie §YMangemonde§!\n;;;[This.GetFirstNameWithDynasty] blande a §YComededos§!\n;;;;;;;;;x
TOOLTIPWORLDS_ENVYWIELDER;[This.GetFirstNameWithDynasty] wields §YRakh Arakh§!\n;[This.GetFirstNameWithDynasty] manie §YEnvie§!\n;;;[This.GetFirstNameWithDynasty] blande a §YRakh Arakh§!\n;;;;;;;;;x
anger;Mother's Grief;Chagrin-des-Mères;;;Duelo de la Madre;;;;;;;;;x
anger_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a fine valyrian longsword, blessed by the high septon himself.;Une bonne lame valyrienne, bénie par le Grand Septon lui-même.;;;Una espada larga valyria, bendecida por el mismo Septón Supremo.;;;;;;;;;x
black_death;Black Death;Mort-Noire;;;Muerte Negra;;;;;;;;;x
black_death_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une épée en acier valyrien reforgée;;;Una espada de acero valyrio reforjada.;;;;;;;;;x
compassion;Glory;Gloire;;;Gloria;;;;;;;;;x
compassion_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a well balanced valyrian steel sword with a hilt decorated in gold.;Une bonne épée en acier valyrien avec une poignée en or.;;;Una espada de acero valyrio bien equilibrada con una empuñadura decorada en oro.;;;;;;;;;x
concession;Skinpeeler;Epluche-peau;;;Desolladora;;;;;;;;;x
concession_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a crooked broadsword designed for extra gore yet is surprisingly well balanced.;Une épée à double tranchant conçue pour saigner son adversaire et qui reste étonnamment bien équilibrée.;;;Una espada mellada diseñada para desollar. Todavía está sorprendentemente bien equilibrada.;;;;;;;;;x
del_pino;Del Pino;Brise-Pin;;;Quebrantapinos;;;;;;;;;x
del_pino_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a hybrid of a mace and javelin with a valyrian tip.;Une arme hybride, à mi-chemin entre la masse d'arme et le javelot dont le tranchant est en acier valyrien.;;;Un híbrido entre una maza y una jabalina con una punta de acero valyrio.;;;;;;;;;x
el_swordo;Goodsword;Bonnelame;;;Buenaspada;;;;;;;;;x
el_swordo_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une bonne lame valyrienne.;;;Una buena espada larga valyria.;;;;;;;;;x
gold_sword;Dornish Kiss;Baiser-Dornien;;;Beso Dorniense;;;;;;;;;x
gold_sword_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une petite épée valyrienne.;;;Una buena espada corta valyria.;;;;;;;;;x
happyness;Father's Fury;Furie-des-Pères;;;Furia del Padre;;;;;;;;;x
happyness_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a gigantic two-handed sword made of valyrian steel.;Une gigantesque épée à deux mains en acier valyrien.;;;Una gigantesca espada a dos manos de acero valyrio.;;;;;;;;;x
hubris;Talon;Serre;;;Orgullo Desmesurado;;;;;;;;;x
hubris_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle]. The pommel of this fine valyrian steel sword is in the shape of a bird of prey.;Le pommeau de cette bonne lame en acier valyrien a la forme d'un oiseau de proie.;;;El pomo de esta espada de acero valyrio tiene forma de un ave de presa.;;;;;;;;;x
justice;Jade;Jade;;;Jade;;;;;;;;;x
justice_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle]. The hilt of this fine valyrian steel sword is made out of jade.;La poignée de cette lame en acier valyrien est en jade.;;;La empuñadura de esta espada de acero valyrio está hecha de jade.;;;;;;;;;x
kingmaker;Kingmaker;Faiseuse-de-Roi;;;Hacedora de Reyes;;;;;;;;;x
kingmaker_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une bonne épée longue en acier valyrien.;;;Una buena espada larga valyria.;;;;;;;;;x
passion;Passion;Passion;;;Pasión;;;;;;;;;x
passion_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une bonne épée longue en acier valyrien.;;;Una buena espada larga valyria.;;;;;;;;;x
rage;Stranger's Touch;L'Etranger;;;Toque del Desconocido;;;;;;;;;x
rage_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle]. The pommel of this fine valyrian steel two-handed sword is shaped like a human skull with two ruby eyes.;Le pommeau de cette bonne lame en acier valyrien a la forme d'un crâne avec deux rubis à la place des yeux.;;;El pomo de esta espada de acero valyrio tiene la forma de un cráneo con los ojos de rubí.;;;;;;;;;x
sightblinder;Mourning Mace;Masse-de-Deuil;;;Maza del Luto;;;;;;;;;x
sightblinder_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a mace made out of valyrian steel.;Une masse d'arme en acier valyrien.;;;Una maza hecha de acero valyrio.;;;;;;;;;x
the_monarchist;Titan's Bite;Morsure-des-Titans;;;Mordisco del Titán;;;;;;;;;x
the_monarchist_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle], this is a two handed valyrian steel greatsword which with blue gems in its hilt and pommel that emanate an icy chill.;Une épée à deux mains en acier valyrien avec des gemmes bleues incrustées dans le pommeau et la poignée;;;Un mandoble de acero valyrio extrañamente coloreado en azul claro.;;;;;;;;;x
the_usurper;Dragonbane;Fléaudragon;;;Venganza de Dragón;;;;;;;;;x
the_usurper_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle]. The guard of this fine valyrian steel sword is wing shaped.;La garde de cette épée en acier valyrien a la forme d'une aile de dragon.;;;El protector de esta espada de acero valyrio tiene forma de ala de dragón.;;;;;;;;;x
worldeater;Finger Eater;Mange-Doigt;;;Comededos;;;;;;;;;x
worldeater_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Une hache en acier valyrien.;;;Una hacha de mano de acero valyrio.;;;;;;;;;x
worlds_envy;Rakh Arakh;Rakh Arakh;;;Rakh Arakh;;;;;;;;;x
worlds_envy_desc;Reforged from [This.GetName] by [This.Owner.GetTitledFirstNameWithDynastyAndTitle];Un Rakh Arakh en acier valyrien.;;;Un Arakh de acero valyrio.;;;;;;;;;x
give_anger_to_son;Grant Mother's Grief;Donner Ire;;;Ceder Duelo de la Madre;;;;;;;;;x
give_anger_to_son_desc;I will pass on Mother's Grief to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Ire à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Duelo de la Madre a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_black_death_to_son;Grant Black Death;Donner Mort-Noire;;;Ceder Muerte Negra;;;;;;;;;x
give_black_death_to_son_desc;I will pass on Black Death to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Mort-Noire à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Muerte Negra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_compassion_to_son;Grant Glory;Donner Compassion;;;Ceder Gloria;;;;;;;;;x
give_compassion_to_son_desc;I will pass on Glory to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Compassion à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Gloria a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_concession_to_son;Grant Concession;Donner Concession;;;Ceder Desolladora;;;;;;;;;x
give_concession_to_son_desc;I will pass on Concession to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Concession à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Desolladora a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_del_pino_to_son;Grant Del Pino;Donner Brise-Pin;;;Ceder Quebrantapinos;;;;;;;;;x
give_del_pino_to_son_desc;I will pass on Del Pino to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Brise-Pin à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Quebrantapinos a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_el_swordo_to_son;Grant Goodsword;Donner Fleuret;;;Ceder Buenaspada;;;;;;;;;x
give_el_swordo_to_son_desc;I will pass on Goodsword to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Fleuret à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Buenaspada a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
