#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jade_sea;The Jade Sea;La Mer de Jade;;;El Mar de Jade;;;;;;;;;x
b_olta_drogaki_temple;Olta Drogaki;Olta Drogaki;;;Olta Drogaki;;;;;;;;;x
c_selchar;Selchar;Selchar;;;Selchar;;;;;;;;;x
b_selchar;Selchar;Selchar;;;Selchar;;;;;;;;;x
b_selchar_castle;Selchar;Selchar;;;Selchar;;;;;;;;;x
b_selchar_temple;Selchar;Selchar;;;Selchar;;;;;;;;;x
king_moraqi_group;Great Shan;Grand Shan;;;Gran Shan;;;;;;;;;x
king_female_moraqi_group;Great Sha;Grande Sha;;;Gran Sha;;;;;;;;;x
duke_moraqi_group;Shan;Shan;;;Shan;;;;;;;;;x
duke_female_moraqi_group;Sha;Sha;;;Sha;;;;;;;;;x
oligarchy_king_moraqi_group;Shan;Shan;;;Shan;;;;;;;;;x
oligarchy_king_female_moraqi_group;Sha;Sha;;;Sha;;;;;;;;;x
LP_king_moraqi_group;Shan;Shan;;;Shan;;;;;;;;;x
LP_king_female_moraqi_group;Sha;Sha;;;Sha;;;;;;;;;x
k_moraq;Moraq;Moraq;;;Moraq;;;;;;;;;x
k_moraq_adj;Moraqi;Moraqi;;;Moraqi;;;;;;;;;x
d_faros;Faros;Faros;;;Faros;;;;;;;;;x
c_faros;Faros;Faros;;;Faros;;;;;;;;;x
b_faros;Faros;Faros;;;Faros;;;;;;;;;x
b_faros_city;Faros;Faros;;;Faros;;;;;;;;;x
b_walls_faros;Gesbhad;Gesbhad;;;Gesbhad;;;;;;;;;x
b_faros_harbour;Faros Harbour;Port de Faros;;;Puerto de Faros;;;;;;;;;x
b_faros_temple;Faros;Faros;;;Faros;;;;;;;;;x
c_sielekar;Sielekar;Sielekar;;;Sielekar;;;;;;;;;x
b_sielekar;Sielekar;Sielekar;;;Sielekar;;;;;;;;;x
b_sielekar_city;Sielekar;Sielekar;;;Sielekar;;;;;;;;;x
b_sielekar_temple;Sielekar;Sielekar;;;Sielekar;;;;;;;;;x
c_hekkon;Hekkon;Hekkon;;;Hekkon;;;;;;;;;x
b_hekkon;Hekkon;Hekkon;;;Hekkon;;;;;;;;;x
b_hekkon_city;Hekkon;Hekkon;;;Hekkon;;;;;;;;;x
b_hekkon_temple;Hekkon;Hekkon;;;Hekkon;;;;;;;;;x
c_nahos;Nahos;Nahos;;;Nahos;;;;;;;;;x
b_nahos;Nahos;Nahos;;;Nahos;;;;;;;;;x
b_nahos_city;Nahos;Nahos;;;Nahos;;;;;;;;;x
b_nahos_temple;Nahos;Nahos;;;Nahos;;;;;;;;;x
d_port_moraq;Port Moraq;Port Moraq;;;Puerto Moraq;;;;;;;;;x
c_port_moraq;Port Moraq;Port Moraq;;;Puerto Moraq;;;;;;;;;x
b_port_moraq;Port Moraq;Port Moraq;;;Puerto Moraq;;;;;;;;;x
b_port_moraq_city;Port Moraq;Port Moraq;;;Puerto Moraq;;;;;;;;;x
b_port_moraq_harbour;Port Moraq Harbour;Môle de Port Moraq;;;Embarcadero de Puerto Moraq;;;;;;;;;x
b_port_moraq_temple;Port Moraq;Port Moraq;;;Puerto Moraq;;;;;;;;;x
c_nuranji;Nur-Anji;Nur-Anji;;;Nur-Anji;;;;;;;;;x
b_nuranji;Nur-Anji;Nur-Anji;;;Nur-Anji;;;;;;;;;x
b_nuranji_city;Nur-Anji;Nur-Anji;;;Nur-Anji;;;;;;;;;x
b_nuranji_temple;Nur-Anji;Nur-Anji;;;Nur-Anji;;;;;;;;;x
c_zaffalor;Zaffalor;Zaffalor;;;Zaffalor;;;;;;;;;x
b_zaffalor;Zaffalor;Zaffalor;;;Zaffalor;;;;;;;;;x
b_zaffalor_city;Zaffalor;Zaffalor;;;Zaffalor;;;;;;;;;x
b_zaffalor_temple;Zaffalor;Zaffalor;;;Zaffalor;;;;;;;;;x
d_vahar;Vahar;Vahar;;;Vahar;;;;;;;;;x
c_vahar;Vahar;Vahar;;;Vahar;;;;;;;;;x
b_vahar;Vahar;Vahar;;;Vahar;;;;;;;;;x
b_vahar_city;Vahar;Vahar;;;Vahar;;;;;;;;;x
b_vahar_temple;Vahar;Vahar;;;Vahar;;;;;;;;;x
b_vahar_harbour;Ports of Vahar;Ports de Vahar;;;Puerto de Vahar;;;;;;;;;x
c_pongar;Pongar;Pongar;;;Pongar;;;;;;;;;x
b_pongar;Pongar;Pongar;;;Pongar;;;;;;;;;x
b_pongar_city;Pongar;Pongar;;;Pongar;;;;;;;;;x
b_pongar_temple;Pongar;Pongar;;;Pongar;;;;;;;;;x
c_draccar;Draccar;Draccar;;;Draccar;;;;;;;;;x
b_draccar;Draccar;Draccar;;;Draccar;;;;;;;;;x
b_draccar_city;Draccar;Draccar;;;Draccar;;;;;;;;;x
b_draccar_temple;Draccar;Draccar;;;Draccar;;;;;;;;;x
d_zabhad;Zabhad;Zabhad;;;Zabhad;;;;;;;;;x
c_zabhad;Isle of Elephants;Zabhad;;;Isla de los Elefantes;;;;;;;;;x
b_zabhad;The Ivory Palace;Zabhad;;;El Palacio de Marfil;;;;;;;;;x
b_zabhad_city;Zabhad;Zabhad;;;Zabhad;;;;;;;;;x
b_zabhad_harbour;Zabhad Harbour;Port de Zabhad;;;Puerto de Zabhad;;;;;;;;;x
b_zabhad_temple;Zabhad;Zabhad;;;Zabhad;;;;;;;;;x
c_cinnamon_isles;Cinnamon Isles;Iles Cannelle;;;Islas Canela;;;;;;;;;x
b_cinnamon_isles;Cinnamon Isles;Iles Cannelle;;;Islas Canela;;;;;;;;;x
b_cinnamon_isles_city;Cinnamon Isles;Iles Cannelle;;;Islas Canela;;;;;;;;;x
b_cinnamon_isles_temple;Cinnamon Isles;Iles Cannelle;;;Islas Canela;;;;;;;;;x
k_hyrkoon;Hyrkoon;Hyrkoon;;;Hyrkoon;;;;;;;;;x
k_hyrkoon_adj;Hyrkooni;Hyrkooni;;;Hyrkunesa;;;;;;;;;x
d_kayakayanaya;Kayakayanaya;Kayakayanaya;;;Kayakayanaya;;;;;;;;;x
c_kayakayanaya;Kayakayanaya;Kayakayanaya;;;Kayakayanaya;;;;;;;;;x
b_kayakayanaya;Kayakayanaya;Kayakayanaya;;;Kayakayanaya;;;;;;;;;x
b_kayakayanaya_city;Kayakayanaya;Kayakayanaya;;;Kayakayanaya;;;;;;;;;x
b_kayakayanaya_temple;Kayakayanaya;Kayakayanaya;;;Kayakayanaya;;;;;;;;;x
c_matakur;Matakur;Matakur;;;Matakur;;;;;;;;;x
b_matakur;Matakur;Matakur;;;Matakur;;;;;;;;;x
b_matakur_city;Matakur;Matakur;;;Matakur;;;;;;;;;x
b_matakur_temple;Matakur;Matakur;;;Matakur;;;;;;;;;x
c_steelroad;Steel Road;Route d'Acier;;;Camino del Acero;;;;;;;;;x
b_steelroad;Steel Road;Route d'Acier;;;Camino del Acero;;;;;;;;;x
b_steelroad_city;Steel Road;Route d'Acier;;;Camino del Acero;;;;;;;;;x
b_steelroad_temple;Steel Road;Route d'Acier;;;Camino del Acero;;;;;;;;;x
d_samyriana;Samyriana;Samyriana;;;Samyriana;;;;;;;;;x
c_samyriana;Samyriana;Samyriana;;;Samyriana;;;;;;;;;x
b_samyriana;Samyriana;Samyriana;;;Samyriana;;;;;;;;;x
b_samyriana_city;Samyriana;Samyriana;;;Samyriana;;;;;;;;;x
b_samyriana_temple;Samyriana;Samyriana;;;Samyriana;;;;;;;;;x
c_samyriananfields;Zarafana;Zarafana;;;Zarafana;;;;;;;;;x
b_samyriananfields;Zarafana;Zarafana;;;Zarafana;;;;;;;;;x
b_samyriananfields_city;Zarafana;Zarafana;;;Zarafana;;;;;;;;;x
b_samyriananfields_temple;Zarafana;Zarafana;;;Zarafana;;;;;;;;;x
c_e_stoneroad;Stone Road;Route de Pierre;;;Camino de la Piedra;;;;;;;;;x
b_e_stoneroad;Stone Road;Route de Pierre;;;Camino de la Piedra;;;;;;;;;x
b_e_stoneroad_city;Stone Road;Route de Pierre;;;Camino de la Piedra;;;;;;;;;x
b_e_stoneroad_temple;Stone Road;Route de Pierre;;;Camino de la Piedra;;;;;;;;;x
d_bayasabhad;Bayasabhad;Bayasabhad;;;Bayasabhad;;;;;;;;;x
c_bayasabhad;Bayasabhad;Bayasabhad;;;Bayasabhad;;;;;;;;;x
b_bayasabhad;Bayasabhad;Bayasabhad;;;Bayasabhad;;;;;;;;;x
b_bayasabhad_city;Bayasabhad;Bayasabhad;;;Bayasabhad;;;;;;;;;x
b_bayasabhad_temple;Bayasabhad;Bayasabhad;;;Bayasabhad;;;;;;;;;x
c_bayasabhadifields;Tashbhad;Tashbhad;;;Tashbhad;;;;;;;;;x
b_bayasabhadifields;Tashbhad;Tashbhad;;;Tashbhad;;;;;;;;;x
b_bayasabhadifields_city;Tashbhad;Tashbhad;;;Tashbhad;;;;;;;;;x
b_bayasabhadifields_temple;Tashbhad;Tashbhad;;;Tashbhad;;;;;;;;;x
c_sandroad;Sand Road;Route de Sable;;;Camino de la Arena;;;;;;;;;x
b_sandroad;Sand Road;Route de Sable;;;Camino de la Arena;;;;;;;;;x
b_sandroad_city;Sand Road;Route de Sable;;;Camino de la Arena;;;;;;;;;x
b_sandroad_temple;Sand Road;Route de Sable;;;Camino de la Arena;;;;;;;;;x
k_trader_town;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
d_trader_town;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
c_trader_town;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
b_trader_town;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
b_trader_town_city;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
b_trader_town_temple;Trader Town;Ville-Foirail;;;Bazar;;;;;;;;;x
b_trader_town1;Linxin;Linxin;;;Linxin;;;;;;;;;x
b_trader_town2;Duyqi;Duyqi;;;Duyqi;;;;;;;;;x
b_trader_town3;Gongyi;Gongyi;;;Gongyi;;;;;;;;;x
c_north_trade_road;Yueqihar;Yueqihar;;;Yueqihar;;;;;;;;;x
b_north_trade_road;Yueqihar;Yueqihar;;;Yueqihar;;;;;;;;;x
b_north_trade_road_city;Yueqihar;Yueqihar;;;Yueqihar;;;;;;;;;x
b_north_trade_road_temple;Yueqihar;Yueqihar;;;Yueqihar;;;;;;;;;x
c_south_trade_road;Furamay;Furamay;;;Furamay;;;;;;;;;x
b_south_trade_road;Furamay;Furamay;;;Furamay;;;;;;;;;x
b_south_trade_road_city;Furamay;Furamay;;;Furamay;;;;;;;;;x
b_south_trade_road_temple;Furamay;Furamay;;;Furamay;;;;;;;;;x
c_melikh;Melikh;Melikh;;;Melikh;;;;;;;;;x
b_melikh;Melikh;Melikh;;;Melikh;;;;;;;;;x
b_melikh_city;Melikh;Melikh;;;Melikh;;;;;;;;;x
b_melikh_temple;Melikh;Melikh;;;Melikh;;;;;;;;;x
c_great_sand_road;Great Sand Road;Grande Route de Sable;;;Gran Camino de la Arena;;;;;;;;;x
b_great_sand_road;Great Sand Road;Grande Route de Sable;;;Gran Camino de la Arena;;;;;;;;;x
k_asabhad;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
k_asabhad_adj;Asabhadi;Asabhadien;;;Asabhadi;;;;;;;;;x
d_asabhad;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
c_asabhad;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
b_asabhad;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
b_asabhad_city;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
b_asabhad_harbour;Asabhad Harbour;Port d'Asabhad;;;Puerto de Asabhad ;;;;;;;;;x
b_asabhad_temple;Asabhad;Asabhad;;;Asabhad;;;;;;;;;x
c_asabhadifields;Karavana;Karavana;;;Karavana;;;;;;;;;x
b_asabhadifields;Karavana;Karavana;;;Karavana;;;;;;;;;x
b_asabhadifields_city;Karavana;Karavana;;;Karavana;;;;;;;;;x
b_asabhadifields_temple;Karavana;Karavana;;;Karavana;;;;;;;;;x
c_asabhadihills;Hyrnaya;Hyrnaya;;;Hyrnaya;;;;;;;;;x
b_asabhadihills;Hyrnaya;Hyrnaya;;;Hyrnaya;;;;;;;;;x
b_asabhadihills_city;Hyrnaya;Hyrnaya;;;Hyrnaya;;;;;;;;;x
b_asabhadihills_temple;Hyrnaya;Hyrnaya;;;Hyrnaya;;;;;;;;;x
c_abaj;Abaj;Abaj;;;Abaj;;;;;;;;;x
b_abaj;Abaj;Abaj;;;Abaj;;;;;;;;;x
b_abaj_city;Abaj;Abaj;;;Abaj;;;;;;;;;x
b_abaj_temple;Abaj;Abaj;;;Abaj;;;;;;;;;x
d_adakhakileki;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
c_adakhakileki;Adakhakileki;Adakhakileki;;;Adakhakileki;;;;;;;;;x
b_adakhakileki;Adakhakileki;Adakhakileki;;;Adakhakileki;;;;;;;;;x
b_adakhakileki1;Adakhakileki;Adakhakileki;;;Adakhakileki;;;;;;;;;x
b_adakhakileki2;Adakhakileki;Adakhakileki;;;Adakhakileki;;;;;;;;;x
b_adakhakileki3;Adakhakileki;Adakhakileki;;;Adakhakileki;;;;;;;;;x
c_w_stoneroad;Western Stoneroad;Route de Pierre occidentale;;;Camino Oeste de la Piedra;;;;;;;;;x
b_w_stoneroad;Western Stoneroad;Route de Pierre occidentale;;;Camino Oeste de la Piedra;;;;;;;;;x
b_w_stoneroad1;Western Stoneroad;Route de Pierre occidentale;;;Camino Oeste de la Piedra;;;;;;;;;x
b_w_stoneroad2;Western Stoneroad;Route de Pierre occidentale;;;Camino Oeste de la Piedra;;;;;;;;;x
c_yinishar;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
b_yinishar;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
b_yinishar1;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
b_yinishar2;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
b_yinishar3;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
b_yinishar4;Yinishar;Yinishar;;;Yinishar;;;;;;;;;x
k_basilisk_isles;The Basilisk Isles;Les Iles du Basilic;;;Las Islas Basilisco;;;;;;;;;x
k_basilisk_isles_adj;Basilisk Isles;Iles du Basilic;;;Basilisqueña;;;;;;;;;x
d_western_isles;The Western Isles;Les îles occidentales;;;Las Islas Occidentales;;;;;;;;;x
d_three_snakes;The Three Snakes;Les Trois-Serpents;;;Las Tres Serpientes;;;;;;;;;x
d_eastern_isles;The Eastern Isles;Les îles orientales;;;Islas Orientales;;;;;;;;;x
c_isleserpents;Isle of Serpents;Iles des Serpents;;;Isla de las Serpientes;;;;;;;;;x
b_isleserpents;Isle of Serpents;Iles des Serpents;;;Isla de las Serpientes;;;;;;;;;x
b_isleserpentstown;Isle of Serpents;Iles des Serpents;;;Isla de las Serpientes;;;;;;;;;x
c_qoprak;Isle of Flies;iles des Taons;;;Isla de las Moscas;;;;;;;;;x
b_qoprak;Isle of Flies;iles des Taons;;;Isla de las Moscas;;;;;;;;;x
b_qopraktown;Qo'prak;Qo'prak;;;Qo'prak;;;;;;;;;x
c_deathisle;Death Isle;Ile de la Mort;;;Isla Muerte;;;;;;;;;x
b_deathisle;Death Isle;Ile de la Mort;;;Isla Muerte;;;;;;;;;x
b_deathisletown;Black Pudding;Boudin Noir;;;Morcilla;;;;;;;;;x
c_taressyar;Howling Mountain;Montagne Hurlante;;;Montaña Aullante;;;;;;;;;x
b_taressyar;Howling Mountain;Montagne Hurlante;;;Montaña Aullante;;;;;;;;;x
b_taressyartown;Taressyar;Taressyar;;;Taressyar;;;;;;;;;x
c_islemonkeys;Talon;Serre;;;Garra;;;;;;;;;x
b_islemonkeys;Talon;Serre;;;Garra;;;;;;;;;x
b_islemonkeystown;Barter Beach;Plage du Troc;;;Playa del Trueque;;;;;;;;;x
c_isleofvines;Isle of Vines;Ile des Vignes;;;Isla de las Viñas;;;;;;;;;x
b_isleofvines;Isle of Vines;Ile des Vignes;;;Isla de las Viñas;;;;;;;;;x
b_isleofvinestown;Whore's Gash;Brèche de Pute;;;Tajo de la Ramera;;;;;;;;;x
c_isleoftoads;Isle of Toads;Ile aux Crapaux;;;Isla de los Sapos;;;;;;;;;x
b_isleoftoads;Isle of Toads;Ile aux Crapaux;;;Isla de los Sapos;;;;;;;;;x
b_isleoftoadstown;Port Plunder;Port Butins;;;Puerto Botín;;;;;;;;;x
c_skullisland;Skull Island;Ile des Crânes;;;Isla de las Calaveras;;;;;;;;;x
b_skullisland;Skull Island;Ile des Crânes;;;Isla de las Calaveras;;;;;;;;;x
b_skullislandtown;Skull Island;Ile des Crânes;;;Isla de las Calaveras;;;;;;;;;x
c_axisle;Ax Isle;Ile de la Hache;;;Isla Hacha;;;;;;;;;x
b_axisle;Ax Isle;Ile de la Hache;;;Isla Hacha;;;;;;;;;x
b_axisletown;Sty;Bauge;;;Pocilga;;;;;;;;;x
k_ifeqevron;The Ifeqevron;L'Iféqevron;;;Los Ifequevron;;;;;;;;;x
k_ifeqevron_adj;Ifeqevron;Iféqevron;;;Ifequevron;;;;;;;;;x
GREAT_EMPIRE_OF;Great Empire of the;;;;Gran Imperio de;;;;;;;;;x
THE_GREAT;The Great;;;;El Gran;;;;;;;;;x
e_dawn;the Dawn;;;;el Amanecer;;;;;;;;;x
e_dawn_adj;Dawn;;;;del Amanecer;;;;;;;;;x
e_yi_ti;Yi Ti;Yi Ti;;;Yi Ti;;;;;;;;;x
e_yi_ti_adj;Yi Ti;Yitien;;;Yitiense;;;;;;;;;x
k_yin;Yin;Yin;;;Yin;;;;;;;;;x
d_yin;Yin;Yin;;;Yin;;;;;;;;;x
c_yin;Yin;Yin;;;Yin;;;;;;;;;x
b_yin;Yin;Yin;;;Yin;;;;;;;;;x
b_yin_city;Yin;Yin;;;Yin;;;;;;;;;x
b_walls_yin;Fuzou;;;;Fuzou;;;;;;;;;x
b_yin_harbour;Zhin;;;;Zhin;;;;;;;;;x
b_yin_market;Pingin;;;;Pingin;;;;;;;;;x
b_yin_temple;Yin;Yin;;;Yin;;;;;;;;;x
c_jade_road;The Jade Road;La Route de Jade;;;El Camino de Jade;;;;;;;;;x
b_jade_road;The Jade Road;La Route de Jade;;;El Camino de Jade;;;;;;;;;x
b_jade_road_city;The Jade Road;La Route de Jade;;;El Camino de Jade;;;;;;;;;x
b_jade_road_temple;The Jade Road;La Route de Jade;;;El Camino de Jade;;;;;;;;;x
c_coast_yin;Karazuishan;Karazuishan;;;Karazuishan;;;;;;;;;x
b_coast_yin;Karazuishan;Karazuishan;;;Karazuishan;;;;;;;;;x
b_coast_yin_city;Karazuishan;Karazuishan;;;Karazuishan;;;;;;;;;x
b_coast_yin_temple;Karazuishan;Karazuishan;;;Karazuishan;;;;;;;;;x
c_cape_yin;Xianqi;Xianqi;;;Xianqi;;;;;;;;;x
b_cape_yin;Xianqi;Xianqi;;;Xianqi;;;;;;;;;x
b_cape_yin_city;Xianqi;Xianqi;;;Xianqi;;;;;;;;;x
b_cape_yin_temple;Xianqi;Xianqi;;;Xianqi;;;;;;;;;x
c_bay_leng;Qizuishan;Qizuishan;;;Qizuishan;;;;;;;;;x
b_bay_leng;Qizuishan;Qizuishan;;;Qizuishan;;;;;;;;;x
b_bay_leng_city;Qizuishan;Qizuishan;;;Qizuishan;;;;;;;;;x
b_bay_leng_temple;Qizuishan;Qizuishan;;;Qizuishan;;;;;;;;;x
d_hidden_city;Si Qo;Si Qo;;;Si Qo;;;;;;;;;x
c_hidden_city;Si Qo;Si Qo;;;Si Qo;;;;;;;;;x
b_hidden_city;Si Qo;Si Qo;;;Si Qo;;;;;;;;;x
b_hidden_city_city;Si Qo;Si Qo;;;Si Qo;;;;;;;;;x
b_hidden_city_temple;Si Qo;Si Qo;;;Si Qo;;;;;;;;;x
c_south_yitijungle;Henqui;Henqui;;;Henqui;;;;;;;;;x
b_south_yitijungle;Henqui;Henqui;;;Henqui;;;;;;;;;x
b_south_yitijungle_city;Henqui;Henqui;;;Henqui;;;;;;;;;x
b_south_yitijungle_temple;Henqui;Henqui;;;Henqui;;;;;;;;;x
c_isle_of_whips;The Isle of Whips;L'Ile des Fouets;;;La Isla de los Látigos;;;;;;;;;x
b_isle_of_whips;The Isle of Whips;L'Ile des Fouets;;;La Isla de los Látigos;;;;;;;;;x
b_isle_of_whips_city;The Isle of Whips;L'Ile des Fouets;;;La Isla de los Látigos;;;;;;;;;x
b_isle_of_whips_temple;The Isle of Whips;L'Ile des Fouets;;;La Isla de los Látigos;;;;;;;;;x
k_jinqi;Jinqi;Jinqi;;;Jinqi;;;;;;;;;x
d_jinqi;Jinqi;Jinqi;;;Jinqi;;;;;;;;;x
c_jinqi;Jinqi;Jinqi;;;Jinqi;;;;;;;;;x
b_jinqi;Jinqi;Jinqi;;;Jinqi;;;;;;;;;x
b_jinqi_city;Jinqi;Jinqi;;;Jinqi;;;;;;;;;x
b_walls_jinqi;Karaliang;;;;Karaliang;;;;;;;;;x
b_jinqi_market;Jiangi;;;;Jiangi;;;;;;;;;x
b_jinqi_harbour;Tangxi;;;;Tangxi;;;;;;;;;x
b_jinqi_temple;Hanglin;;;;Hanglin;;;;;;;;;x
d_yiti_delta;Fenqui;Fenqui;;;Fenqui;;;;;;;;;x
c_yiti_delta;Fenqui;Fenqui;;;Fenqui;;;;;;;;;x
b_yiti_delta;Fenqui;Fenqui;;;Fenqui;;;;;;;;;x
b_yiti_delta_city;Fenqui;Fenqui;;;Fenqui;;;;;;;;;x
b_yiti_delta_temple;Fenqui;Fenqui;;;Fenqui;;;;;;;;;x
c_sarahai;Sarahai;Sarahai;;;Sarahai;;;;;;;;;x
b_sarahai;Sarahai;Sarahai;;;Sarahai;;;;;;;;;x
b_sarahai_city;Sarahai;Sarahai;;;Sarahai;;;;;;;;;x
b_sarahai_temple;Sarahai;Sarahai;;;Sarahai;;;;;;;;;x
c_darakesh;Qinhi;Qinhi;;;Qinhi;;;;;;;;;x
b_darakesh;Qinhi;Qinhi;;;Qinhi;;;;;;;;;x
b_darakesh_city;Qinhi;Qinhi;;;Qinhi;;;;;;;;;x
b_darakesh_temple;Qinhi;Qinhi;;;Qinhi;;;;;;;;;x
c_jungle_vines;Zoamen;Zoamen;;;Zoamen;;;;;;;;;x
b_jungle_vines;Zoamen;Zoamen;;;Zoamen;;;;;;;;;x
b_jungle_vines_city;Zoamen;Zoamen;;;Zoamen;;;;;;;;;x
b_jungle_vines_temple;Zoamen;Zoamen;;;Zoamen;;;;;;;;;x
k_tiqui;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
d_tiqui;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
c_tiqui;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
b_tiqui;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
b_tiqui_city;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
b_walls_tiqui;Tenghua;;;;Tenghua;;;;;;;;;x
b_tiqui_market;Yuezi;;;;Yuezi;;;;;;;;;x
b_tiqui_temple;Tiqui;Tiqui;;;Tiqui;;;;;;;;;x
c_road_tiqui;Shaogong;Shaogong;;;Shaogong;;;;;;;;;x
b_road_tiqui;Shaogong;Shaogong;;;Shaogong;;;;;;;;;x
b_road_tiqui_city;Shaogong;Shaogong;;;Shaogong;;;;;;;;;x
b_road_tiqui_temple;Shaogong;Shaogong;;;Shaogong;;;;;;;;;x
d_hills_tiqui;Nanqi;Nanqi;;;Nanqi;;;;;;;;;x
c_hills_tiqui;Nanqi;Nanqi;;;Nanqi;;;;;;;;;x
b_hills_tiqui;Nanqi;Nanqi;;;Nanqi;;;;;;;;;x
b_hills_tiqui_city;Nanqi;Nanqi;;;Nanqi;;;;;;;;;x
b_hills_tiqui_temple;Nanqi;Nanqi;;;Nanqi;;;;;;;;;x
c_telahai;Telahai;Telahai;;;Telahai;;;;;;;;;x
b_telahai;Telahai;Telahai;;;Telahai;;;;;;;;;x
b_telahai_city;Telahai;Telahai;;;Telahai;;;;;;;;;x
b_telahai_temple;Telahai;Telahai;;;Telahai;;;;;;;;;x
c_western_jungle_yiti;Jinqhu;Jinqhu;;;Jinqhu;;;;;;;;;x
b_western_jungle_yiti;Jinqhu;Jinqhu;;;Jinqhu;;;;;;;;;x
b_western_jungle_yiti_city;Jinqhu;Jinqhu;;;Jinqhu;;;;;;;;;x
b_western_jungle_yiti_temple;Jinqhu;Jinqhu;;;Jinqhu;;;;;;;;;x
c_zanisshi;Zanisshi;Zanisshi;;;Zanisshi;;;;;;;;;x
b_zanisshi;Zanisshi;Zanisshi;;;Zanisshi;;;;;;;;;x
b_zanisshi_city;Zanisshi;Zanisshi;;;Zanisshi;;;;;;;;;x
b_zanisshi_temple;Zanisshi;Zanisshi;;;Zanisshi;;;;;;;;;x
k_linqi;Linqi;Linqi;;;Linqi;;;;;;;;;x
d_linqi;Linqi;Linqi;;;Linqi;;;;;;;;;x
c_linqi;Linqi;Linqi;;;Linqi;;;;;;;;;x
b_linqi;Linqi;Linqi;;;Linqi;;;;;;;;;x
b_linqi_city;Linqi;Linqi;;;Linqi;;;;;;;;;x
b_walls_linqi;Zhouging;;;;Zhouging;;;;;;;;;x
b_linqi_market;Changchun;;;;Changchun;;;;;;;;;x
b_linqi_temple;Linqi;Linqi;;;Linqi;;;;;;;;;x
c_gayanayalla;Gayan;Gayan;;;Gayan;;;;;;;;;x
b_gayanayalla;Gayan;Gayan;;;Gayan;;;;;;;;;x
b_gayanayalla_city;Gayan;Gayan;;;Gayan;;;;;;;;;x
b_gayanayalla_temple;Gayan;Gayan;;;Gayan;;;;;;;;;x
d_linqi_jungle;Wan Ti;Wan Ti;;;Wan Ti;;;;;;;;;x
c_yiti_wetlands;Fung Yi;Fung Yi;;;Fung Yi;;;;;;;;;x
b_yiti_wetlands;Fung Yi;Fung Yi;;;Fung Yi;;;;;;;;;x
b_yiti_wetlands_city;Fung Yi;Fung Yi;;;Fung Yi;;;;;;;;;x
b_yiti_wetlands_temple;Fung Yi;Fung Yi;;;Fung Yi;;;;;;;;;x
c_hidden_jungles;Wan Ti;Wan Ti;;;Wan Ti;;;;;;;;;x
b_hidden_jungles;Wan Ti;Wan Ti;;;Wan Ti;;;;;;;;;x
b_hidden_jungles_city;Wan Ti;Wan Ti;;;Wan Ti;;;;;;;;;x
b_hidden_jungles_temple;Wan Ti;Wan Ti;;;Wan Ti;;;;;;;;;x
c_jade_jungle;Xinzihua;Xinzihua;;;Xinzihua;;;;;;;;;x
b_jade_jungle;Xinzihua;Xinzihua;;;Xinzihua;;;;;;;;;x
b_jade_jungle_city;Xinzihua;Xinzihua;;;Xinzihua;;;;;;;;;x
b_jade_jungle_temple;Xinzihua;Xinzihua;;;Xinzihua;;;;;;;;;x
c_central_jungle_yiti;Taichen;Taichen;;;Taichen;;;;;;;;;x
b_central_jungle_yiti;Taichen;Taichen;;;Taichen;;;;;;;;;x
b_central_jungle_yiti_city;Taichen;Taichen;;;Taichen;;;;;;;;;x
b_central_jungle_yiti_temple;Taichen;Taichen;;;Taichen;;;;;;;;;x
k_piqui;Piqui;Piqui;;;Piqui;;;;;;;;;x
d_piqui;Piqui;Piqui;;;Piqui;;;;;;;;;x
c_piqui;Piqui;Piqui;;;Piqui;;;;;;;;;x
b_piqui;Piqui;Piqui;;;Piqui;;;;;;;;;x
b_piqui_city;Piqui;Piqui;;;Piqui;;;;;;;;;x
b_walls_piqui;Zhin;;;;Zhin;;;;;;;;;x
b_piqui_market;Jinhi;;;;Jinhi;;;;;;;;;x
b_piqui_temple;Piqui;Piqui;;;Piqui;;;;;;;;;x
c_ramasar;Ramasar;Ramasar;;;Ramasar;;;;;;;;;x
