#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ironborn_reaving;Go on a Reaving;Partir pour un raid;;;Organizar una expedición de saqueo;;;;;;;;;x
EVTDESCraid_events.35;The enemy merchants were too well armed for us to take their gold. They utilised their warships to good effect, not allowing us to board their merhcant vessels. We lost a few men, but we shall be back to take our Iron price.;Les marchands ennemis étaient bien trop armés pour que nous puissions prendre leur or. Ils ont bien manœuvré leurs navires de guerre pour nous empêcher d'aborder leurs voiles marchandes. Nous avons perdu quelques hommes mais nous reviendrons pour prendre notre fer-prix. ;;;La flota mercante enemiga estaba muy bien armada para poder tomar su oro. Maniobraron sus navíos de guerra para impedirnos abordar los buques mercantes. Perdimos a unos cuantos hombres pero volveremos para tomar el precio del hierro.;;;;;;;;;x
EVTOPTAraid_events.35;There is always the next raid;Nous pourrons toujours nous rattraper au prochain raid;;;Los alcanzaremos en la siguiente expedición;;;;;;;;;x
EVTDESCraid_events.36;The attack on the enemy flotilla was a disaster. Their warships were too well armed and well manned and we lost many men and longships trying to board their vessels. This makes us look poor ironborn indeed.;L'attaque de la flottille ennemie fut un désastre. Leurs navires de guerres étaient bien trop armés et manœuvrés et nous avons perdu nombre d'hommes et de boutres en tentant d'aborder leurs bateaux. Nous sommes de bien piètres Fer-nés. ;;;El ataque a la flotilla enemiga fue un desastre. Sus navíos de guerra estaban muy bien armados y perdimos un gran número de hombres y barcoluengos intentando abordar sus barcos. No merecemos ser Hijos del Hierro. ;;;;;;;;;x
EVTOPTAraid_events.36;We will fight back!;Nous reviendrons nous battre!;;;Volveremos a luchar!;;;;;;;;;x
EVTDESCraid_events.37;[From.GetFirstNameWithDynasty] fearlessly decided to attack a merchant flotilla, and the enemy crews were no match for the Ironborn. We sank their poorly manned escorts, siezed there cargo and slew or took captive many men. This is why we follow the Old Way!;[From.GetFirstNameWithDynasty] a décidé sans crainte d'attaquer une flottille marchande. L'équipage ennemi n'était que du menu fretin pour les Fer-nés. Nous avons coulé leur pitoyable escorte, pillé leur cargaison et capturé de nombreux hommes. Voilà pourquoi nous suivons l'Antique Voie! ;;;[From.GetFirstNameWithDynasty] decidió sin temor atacar una flota mercante. La tripulación no fue más que un aperitivo a manos de los Hijos del Hierro. Hundimos a su escolta, saqueamos su cargamento y capturamos a numerosos prisioneros. Por esto seguimos las Antiguas Costumbres!;;;;;;;;;x
EVTDESCraid_events.38;[From.GetFirstNameWithDynasty]'s decision to attack a merhcant fleet was sound, the fleet was fairly well defended. We lost a few men siezing their ships as well as taking some damge to our longships, but in the end no one can resist our Ironborn reavers and much cargo as well many captives were taken.;La décision de [From.GetFirstNameWithDynasty] d'attaquer la flotte marchande était bonne. La flotte était bien défendue. Nous avons perdu quelques hommes lorsque nous avons abordé leurs bateaux et certaines de nos boutres ont été endommagées. Mais à la fin, personne ne peut résister aux valeureux Fer-nés et nous nous sommes emparé de leur cargaison et fait de nombreux prisonniers. ;;;La decisión de [From.GetFirstNameWithDynasty] de atacar la flota mercante fue acertada. La flota estaba bien defendida. Perdimos algunos hombres mientras abordábamos sus naves y unos cuantos barcoluengos fueron dañados. Pero al final, no pudieron resistir contra los valerosos Hijos del Hierro y nos hicimos con su cargamento y numerosos prisioneros.;;;;;;;;;x
EVTDESCraid_events.39;[From.GetFirstNameWithDynasty] 's attack on an enemy merhcant fleet seemed foolhardy, as the enemy merchants were too well armed for us to take their gold. They utilised their warships to good effect, not allowing us to board their merhcant vessels. We lost a few men, but we shall be back to take our Iron price.;La décision de [From.GetFirstNameWithDynasty] d'attaquer une flotte marchande semble avoir été imprudente. Les marchands ennemis étaient bien trop armés pour que nous puissions prendre leur or. Ils ont bien manoeuvré leurs navires de guerre pour nous empêcher d'aborder leurs voiles marchandes. Nous avons perdu quelques hommes mais nous reviendrons pour prendre notre fer-prix. ;;;La decisión de [From.GetFirstNameWithDynasty] de atacar una flota mercante parece haber sido imprudente. La flota enemiga estaba muy bien armada para poder tomar su oro. Maniobraron sus navíos de guerra para impedirnos abordar sus buques mercantes. Perdimos a unos cuantos hombres pero volveremos para tomar el precio del hierro.;;;;;;;;;x
EVTDESCraid_events.40;[From.GetFirstNameWithDynasty]'s attack on an merhcant flotilla was a disaster. Their warships were too well armed and well manned and we lost many men and longships trying to board their vessels. This makes us look poor ironborn indeed.;L'attaque de[From.GetFirstNameWithDynasty] sur une flottille marchande a tourné au désastre. Leurs navires de guerres étaient bien trop armés et manœuvrées et nous avons perdu nombre d'hommes et de boutres en tentant d'aborder leurs bateaux. Nous sommes de bien piètres Fer-nés. ;;;El ataque de [From.GetFirstNameWithDynasty] a una flotilla mercante fue un desastre. Sus navíos de guerra estaban muy bien armados y dirigidos y perdimos un gran número de hombres y barcoluengos intentando abordar sus barcos. No merecemos ser Hijos del Hierro. ;;;;;;;;;x
EVTDESCraid_events.41;During the course of the battle I came upon a foeman who wielded a fearsome sword made of Valyrian Steel. He was no match for an Ironborn warrior however and fell in battle against me. Now I wield this majestic weapon, for the glory of House [Root.GetOnlyDynastyName]!;Au cours de la bataille je me suis retrouvé face à un adversaire maniant une effrayante épée en acier valyrien. Il n'était cependant pas de taille à affronter un guerrier Fer-né et je l'ai facilement terrassé. Désormais je manie cette arme majestueuse pour la gloire de la Maison [Root.GetOnlyDynastyName]!;;;En el transcurso de la batalla me encontré a un adversario blandiendo una amenazante espada valyria. No fue rival para un guerrero Hijo del Hierro y lo derribé fácilmente. Ahora blando esta majestuosa espada para la gloria de la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTAraid_events.41;A fine blade!;Une fine lame;;;Una buena hoja!;;;;;;;;;x
EVTDESCraid_events.42;During the course of the battle [From.GetFirstNameWithDynasty] came upon a foeman who wielded a fearsome sword made of Valyrian Steel. He was no match for an Ironborn warrior however and fell in battle against him. Now [From.GetFirstName] wields this majestic weapon, for the glory of his house.;Au cours de la bataille [From.GetFirstNameWithDynasty] s'est retrouvé face à un adversaire maniant une effrayante épée en acier valyrien. Il n'était cependant pas de taille à affronter un guerrier Fer-né et s'est promptement fait tué. Désormais [From.GetFirstName] manie cette arme majestueuse pour la gloire de sa maison. ;;;En el transcurso de la batalla [From.GetFirstNameWithDynasty] se encontró un adversario blandiendo una amenazante espada valyria. No fue rival para un guerrero Hijo del Hierro y lo derribó fácilmente. Ahora [From.GetFirstName] blande esta majestuosa espada para la gloria de la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTDESCraid_events.43;One of my fellow Reavers has come to be a great companion. We have raided and pillaged together, we have slain many a man in battle side by side and feasted together in celebration of a reaving well done, in the true spirit of the Drowned God.;L'un de mes camarades de raid est devenu un compagnon pour moi. Côte à côte nous avons tué de nombreux hommes, nous avons razzié et pillé ensemble, comme nous avons festoyé de concert après des raids couronnés de succès selon la volonté du Dieu-noyé.;;;Uno de mis compañeros de expedición se ha convertido en un gran camarada para mi. Juntos hemos matado a numerosos hombres, saqueado y robado juntos, y festejamos en un gran banquete la exitosa expedición de saqueo según el deseo del Dios Ahogado!;;;;;;;;;x
EVTOPTAraid_events.43;We shall remember this time;Nous nous souviendrons de ces moments;;;Recordaremos estos momentos;;;;;;;;;x
EVTTOOLTIPraid_events.44;will become your friend;vont devenir amis;;;se convertirá en tu amigo;;;;;;;;;x
EVTDESCraid_events.44;[From.GetFirstNameWithDynasty] has come to be a great companion. We have raided and pillaged together, we have slain many a man in battle side by side and feasted together in celebration of a reaving well done, in the true spirit of the Drowned God.;[From.GetFirstNameWithDynasty] est devenu un bon compagnon. Côte à côte nous avons tué de nombreux hommes, nous avons razzié et pillé ensemble, comme nous avons festoyé de concert après des raids couronnés de succès selon la volonté du Dieu-noyé.;;;[From.GetFirstNameWithDynasty] se ha convertido en un gran compañero para mi. Juntos hemos matado a numerosos hombres, saqueado y robado juntos, y festejamos en un gran banquete la exitosa expedición de saqueo según el deseo del Dios Ahogado!;;;;;;;;;x
EVTDESCraid_events.45;I have never been overly fond of one of my fellow reavers, and this voyage has done nought to help that. Our frantic race to rape and pillage more than the other, to slay more men and capture more salt wives, has fuelled a bitter rivalry that will endure well after the reaving is done.;Je n'ai jamais vraiment aimé l'un de mes camarades de raid et ce voyage n'a rien fait pour aider. Notre compétition frénétique pour violer et piller plus que l'autre, pour tuer et capturer plus de femme-sels, a nourrit une amère rivalité qui continuera bien après la fin du raid.;;;Nunca me gustó uno de mis compañeros de expedición y este viaje no ha ayudado nada. Nuestra frenética competición por violar y saquear más que el otro, para matar y capturar más esposas de sal, ha creado una fuerte rivalidad que continuará tras el fin de la expedición de saqueo.;;;;;;;;;x
EVTOPTAraid_events.45;He is insufferable!;Il est insupportable!;;;Es insoportable!;;;;;;;;;x
EVTTOOLTIPraid_events.46;will become your rival;va devenir votre rival;;;se convertirá en tu rival;;;;;;;;;x
EVTDESCraid_events.46;I have never been overly fond of [From.GetFirstNameWithDynasty], and this voyage has done nought to help that. Our frantic race to rape and pillage more than the other, to slay more men and capture more salt wives, has fuelled a bitter rivalry that will endure well after the reaving is done.;Je n'ai jamais vraiment aimé [From.GetFirstNameWithDynasty], et ce voyage n'a rien fait pour aider. Notre compétition frénétique pour violer et piller plus que l'autre, pour tuer et capturer plus de femme-sels, a nourrit une amère rivalité qui continuera bien après la fin du raid.;;;Nunca me gustó [From.GetFirstNameWithDynasty] y este viaje no ha ayudado nada. Nuestra frenética competición por violar y saquear más que el otro, para matar y capturar más esposas de sal, ha creado una fuerte rivalidad que continuará tras el fin de la expedición de saqueo.;;;;;;;;;x
EVTDESCraid_events.47;After a hard days reaving, the men are having many a strong drink whilst we rest at anchor. [finger_dancer.GetTitledFirstNameWithDynastyNoRegnal] is bragging of the many men [finger_dancer.GetSheHe] has killed this day and how [finger_dancer.GetSheHe] is the boldest of the Ironborn here. My companions think I should challenge [finger_dancer.GetHerHim] to a finger dance to prove otherwise...;Après de nombreuses journées passées à piller, nous avons jeter l'ancre pour nous reposer un peu. L'alcool coule à flot et un homme se vante des nombreux ennemis qu'il a tué et jure être le plus courageux des Fer-né présents. Mes compagnons pensent que je devrais le défier à une danse du doigts pour lui prouver qu'il se trompe... ;;;Tras numerosas jornadas de pillaje, echamos el ancla para descansar un poco. El alcohol fluye libremente y un hombre se jacta de los muchos hombres que ha matado y jura ser el más valiente de los Hijos del Hierro presentes. MIs compañeros creen que debería retarlo a una danza del dedo para probar que se equivoca...;;;;;;;;;x
EVTOPTAraid_events.47;I am the boldest! I challenge [finger_dancer.GetHerHim]!;Je suis le plus courageux! Je le défi!;;;Yo soy el más valiente! Lo desafió!;;;;;;;;;x
EVTOPTBraid_events.47;I have had a bit too much drink to dance;J'ai un peu trop bu pour une danse du doigt;;;He bebido demasiado para una danza del dedo;;;;;;;;;x
EVTDESCraid_events.48;We are at rest after a day of much pillage and raping, where I showed I clearly am the most daring of the Ironborn, who can kill, plunder and drink the most! [From.GetFirstNameWithDynasty] disagrees however, and challenges me to a finger dance to proove my bravery!;Nous nous reposons après de nombreux jours de pillages et de viols où j'ai prouvé que j'étais clairement le plus courageux des Fer-nés, celui qui tue, pille et bois le plus! Cependant [From.GetFirstNameWithDynasty] n'est pas d'accord et me défie à une danse du doigt pour prouver ce que j'avance! ;;;Descansamos tras muchos días de pillaje y violaciones donde demostré que soy claramente el más valeroso de los Hijos del Hierro, el que más mata, saquea y bebe! Sin embargo [From.GetFirstNameWithDynasty] no está de acuerdo y me ha desafiado a una danza del dedo para demostrar lo que he dicho!;;;;;;;;;x
EVTOPTAraid_events.48;I accept!;J'accepte!;;;Acepto!;;;;;;;;;x
EVTTOOLTIPraid_events.48;will be challenged to a finger dance;va être défié à une danse du doigt;;;será desafiado a una danza del dedo;;;;;;;;;x
TOOLTIPFINGERDANCEENSUES;A finger dance will ensue with [From.GetFirstNameWithDynasty]\n;Une danse du doigt va s'ensuivre avec [From.GetFirstNameWithDynasty]\n;;;Una danza del dedo tendrá lugar con [From.GetFirstNameWithDynasty]\n;;;;;;;;;x
EVTDESCraid_events.50;Despite all [From.GetHerHis] bravado, [From.GetFirstNameWithDynasty] has proved [From.GetHerHim]self a craven. [From.GetSheHeCap] backed down from your challenge to a finger dance.;En dépit de ses bravades, [FromFrom.GetFirstNameWithDynasty] a prouvé qu'il était un lâche. Il n'a pas relevé votre défi à la danse du doigt.;;;A pesar de su bravuconería, [FromFrom.GetFirstNameWithDynasty] ha demostrado ser un cobarde. No ha aceptado tu desafío a la danza del dedo.;;;;;;;;;x
EVTOPTAraid_events.50;I am the true Ironborn!;Je suis un vrai Fer-né!;;;Soy un verdadero Hijo del Hierro!;;;;;;;;;x
EVTDESCraid_events.51;[From.GetFirstNameWithDynasty] must surely regret dancing the finger dance with me! The axes flew back and forth whilst I moved with grace and conviction, catching and dodging blades that flew my way. It all got too much for [From.GetTitledFirstNameNoRegnal], [From.GetSheHe] had a panicked look throughout and eventually submitted.;[FromFrom.GetFirstNameWithDynasty] a accepté mon défi à la danse du doigt et doit sûrement le regretter! Les haches voltigeaient d'un bout à l'autre et je les esquivais et les rattrappais à chaque fois. Il devint vite clair que s'en était trop pour [FromFrom.GetFirstName], ses yeux ne pouvaient cacher une certaine panique et il finit par abandonner après avoir perdu quelques doigts. ;;;[FromFrom.GetFirstNameWithDynasty] aceptó mi desafío de la danza del dedo y seguramente se arrepienta! Las hachas volaban de un lado a otro de la sala y yo las esquivaba y atrapaba cada vez. Quedó rápidamente claro que era demasiado para [FromFrom.GetFirstName], sus ojos no podían ocultar cierto pánico y finalmente se rindió tras perder unos cuantos dedos.;;;;;;;;;x
EVTOPTAraid_events.51;None can dance as well as I!;Personne ne peut aussi bien danser que moi!;;;Nadie baila tan bien como yo!;;;;;;;;;x
EVTDESCraid_events.52;Perhaps my decision to accept [From.GetFirstNameWithDynasty]'s challenge was not wise. As the axes flew to and fro [From.GetSheHe] was clearly the more assured and quicker. I had to give in and yield.;Peut-être que ma décision d'accepter le défi de [From.GetFirstNameWithDynasty] n'était pas très sage. Alors que les haches allaient et venaient, il devint clair qu'il était le plus assuré et le plus rapide. Je craignais pour ma vie et finis par abandonner après la perte de quelques doigts!;;;Tal vez mi decisión de aceptar el desafío de [From.GetFirstNameWithDynasty] no fue una sabia decisión. Mientras las hachas iban y venían, quedó claro que él era más rápido y certero. Temí por mi vida y me rendí tras perder varios dedos!;;;;;;;;;x
EVTOPTAraid_events.52;[From.GetSheHeCap] was too good!;Il était trop bon!;;;Era demasiado bueno!;;;;;;;;;x
EVTDESCraid_events.53;After accepting my challenge, [From.GetFirstNameWithDynasty] and I had a fine finger dance. We both artfully dodged and bravely caught many an axe, and only suffered trifling injuries! All agreed it was a good lark!;Après avoir relevé mon défi, [From.GetFirstNameWithDynasty] et moi avons entamé une très belle danse du doigt. Nous avons tous les deux bien évité et attrappé les haches et n'avons souffert que de blessures superficielles. Tous étaient d'accord pour dire que se fut une bien belle bataille. ;;;Tras aceptar mi desafío, [From.GetFirstNameWithDynasty] y yo entablamos una hermosa danza del dedo. Los dos evitamos y atrapamos las hachas sufriendo únicamente heridas superficiales. Todos estaban de acuerdo en que fue una preciosa batalla.;;;;;;;;;x
EVTOPTAraid_events.53;We must do it again!;Nous devrions en refaire une à l'occasion!;;;Deberíamos hacerlo de nuevo!;;;;;;;;;x
EVTDESCraid_events.54;After I accepted [From.GetHerHis] challenge, [From.GetFirstNameWithDynasty] and I had a fine finger dance. We both artfully dodged and bravely caught many an axe, and only suffered trifling injuries! All agreed it was a good lark!;Après avoir relevé son défi, [From.GetFirstNameWithDynasty] et moi avons entamé une très belle danse du doigt. Nous avons tous les deux bien évité et attrappé les haches et n'avons souffert que de blessures superficielles. Tous étaient d'accord pour dire que se fut une bien belle bataille. ;;;Tras aceptar su desafío, [From.GetFirstNameWithDynasty] y yo entablamos una hermosa danza del dedo. Los dos evitamos y atrapamos las hachas sufriendo únicamente heridas superficiales. Todos estaban de acuerdo en que fue una preciosa batalla.;;;;;;;;;x
EVTDESCraid_events.55;[FromFrom.GetFirstNameWithDynasty] was not all talk afterall. [From.GetSheHeCap] accepted my challenge, and as the axes flew to and fro [From.GetSheHe] was clearly the more assured and quicker. I had to give in after losing some fingers, for fear of my life!;[FromFrom.GetFirstNameWithDynasty] n'était pas qu'une grande gueule après tout. Il a accepté mon défi et lorsque les haches ont commencé à voler il était clairement le plus assuré et le plus rapide. Craignant pour ma vie, j'ai dé abandonner après avoir perdu quelques doigts! ;;;[FromFrom.GetFirstNameWithDynasty] no era un bocazas después de todo. Aceptó mi seafío y cuando las hachas empezaron a volar, claramente fue más rápido y certero que yo. Temiendo por mi vida, abandoné tras perder varios dedos!;;;;;;;;;x
EVTOPTAraid_events.55;The men respect me nonetheless;Les hommes me respectent tout de même;;;Los hombres me respetan de todas formas;;;;;;;;;x
EVTDESCraid_events.56;I took up [From.GetFirstNameWithDynasty]'s challenge, and [From.GetSheHe] must surely regret it! The axes flew back and forth whilst I moved with grace and conviction, catching and dodging every blade that flew my way. It all got too much for [From.GetTitledFirstNameNoRegnal], [From.GetSheHe] had a panicked look throughout and eventually submitted after losing a few fingers.;J'ai relevé le défi de [From.GetFirstNameWithDynasty] et il doit sûrement le regretter! Les haches voltigeaient d'un bout à l'autre et je les esquivais et les rattrappais à chaque fois. Il devint vite clair que s'en était trop pour [FromFrom.GetFirstName], ses yeux ne pouvaient cacher une certaine panique et il finit par abandonner après avoir perdu quelques doigts. ;;;Acepté el desafío de [From.GetFirstNameWithDynasty] y seguramente se arrepienta! Las hachas volaban de un lado a otro de la sala y yo las esquivaba y atrapaba cada vez. Quedó rápidamente claro que era demasiado para [FromFrom.GetFirstName], sus ojos no podían ocultar cierto pánico y finalmente se rindió tras perder unos cuantos dedos.;;;;;;;;;x
EVTDESCraid_events.57;The men were enjoying many a hard drink after a good days reaving, when [FromFrom.GetFirstNameWithDynasty] challenged [From.GetFirstNameWithDynasty], who was boasting of [From.GetHerHis] reaving exploits, to a finger dance! [From.GetTitledFirstNameNoRegnal] was clearly the better of the two, [From.GetSheHe] caught and dodged the axes most ably. [FromFrom.GetTitledFirstNameNoRegnal] eventually submitted.;Les hommes prenaient du bon temps en se saoulant après bien des jours de raids lorsque [FromFrom.GetFirstNameWithDynasty] défia [From.GetFirstNameWithDynasty], qui se vantait de ses exploits durant les raids, à une danse du doigt! [FromFrom.GetFirstName] était clairement le meilleur des deux, il esquivait et attrapait les haches avec bien plus d'habilité. [From.GetFirstName] finit par abandonner après avoir perdu quelques doigts. ;;;Los hombres disfrutaban emborrachándose tras muchos días de saqueos cuando [FromFrom.GetFirstNameWithDynasty] desafió a [From.GetFirstNameWithDynasty], que se vanagloriaba de sus hazañas a una danza del dedo! [FromFrom.GetFirstName] fue claramente el mejor de los dos, esquivó y atrapó las hachas con más habilidad. [From.GetFirstName] acabó por abandonar tras perder varios dedos.;;;;;;;;;x
EVTOPTAraid_events.57;That was a good contest;Ce fut une bonne partie;;;Fue una buena competición;;;;;;;;;x
EVTDESCraid_events.58;After a hards days reaving and much drink, the Ironborn were in high spirits, when [FromFrom.GetFirstNameWithDynasty] challenged [From.GetFirstNameWithDynasty] to a finger dance! It was fine spectacle, they both artfully dodged and caught many an axe, and only sustained trifling injuries! All agreed it was a fine lark.;Après de dures journées de pillage et de boissons, les Fer-nés étaient plutôt échauffés lorsque [FromFrom.GetFirstNameWithDynasty] défia [From.GetFirstNameWithDynasty] à une danse du doigt! Ce fut un très bon spectacle, ils esquivèrent et attrapèrent les haches avec dextérité, ne s'infligeant que quelques blessures superficielles! Tous furent d'accord pour dire que c'était une belle bataille. ;;;Tras duras jornadas de saqueos y bebidas, los Hijos del Hierro estaban de buen humor cuando [FromFrom.GetFirstNameWithDynasty] desafió a [From.GetFirstNameWithDynasty] a una danza del dedo! Fue un buen espectáculo, esquivaban y atrapaban las hachas con destreza y no se infligieron más que heridas superficiales! Todos estuvieron de acuerdo en que fue una bonita batalla. ;;;;;;;;;x
EVTOPTAraid_events.58;Like true Ironborn!;Comme de vrais Fer-nés!;;;Como verdaderos Hijos del Hierro!;;;;;;;;;x
EVTDESCraid_events.59;The men were enjoying many a hard drink after a good days reaving, when [FromFrom.GetFirstNameWithDynasty] challenged [From.GetFirstNameWithDynasty], who was boasting of [From.GetHerHis] reaving exploits, to a finger dance! [FromFrom.GetTitledFirstNameNoRegnal] was clearly unwise in [FromFrom.GetHerHis] challenge, as [From.GetTitledFirstNameNoRegnal] caught and dodged the axes far more ably. [FromFrom.GetTitledFirstNameNoRegnal] eventually submitted after losing a few fingers.;Les hommes prenaient du bon temps en se saoulant après bien des jours de raids lorsque [FromFrom.GetFirstNameWithDynasty]défia [From.GetFirstNameWithDynasty], qui se vantait de ses exploits durant les raids, à une danse du doigt! [FromFrom.GetFirstName] a clairement fait une erreur en lançant ce défi, puisque [From.GetFirstName] attrapa et esquiva les haches d'une manière bien plus adroite. [FromFrom.GetFirstName] a finis par abandonner après avoir perdu quelques doigts. ;;;Los hombres disfrutaban emborrachándose tras muchos días de saqueos cuando [FromFrom.GetFirstNameWithDynasty] desafió a [From.GetFirstNameWithDynasty], que se vanagloriaba de sus hazañas a una danza del dedo! [FromFrom.GetFirstName] claramente cometió un error al lanzar el desafío, ya que [From.GetFirstName] atrapaba y esquivaba las hachas de una forma más hábil. [FromFrom.GetFirstName] acabó por abandonar tras perder varios dedos.;;;;;;;;;x
EVTDESCraid_events.60;The Drowned God have mercy! Our Longships have encountered a great Kraken which threatens to pull them down! Krakens were thought to be a myth from the Age of Heroes, but are a very real menace for us now!;Que le Dieu Noyé ait pitié de nous! Nos boutres ont rencontré une Seiche Géante qui menace de les couler! Nous pensions que les pieuvres géantes n'étaient que des mythes remontant à l'Age des Héros, mais elles sont bien réelles!;;;Que el Dios Ahogado tenga piedad de nosotros! Nuestros barcoluengos se han encontrado con un Kraken gigante que amenaza de hundirlos! Pensábamos que los Krakens no eran más que mitos que se remontaban a la Edad de los Héroes, pero son bien reales!;;;;;;;;;x
EVTOPTAraid_events.60;Ironborn! To Arms!;Fer-nés! Aux armes!;;;Hijos del Hierro! A las armas!;;;;;;;;;x
TOOLTIPKRAKENDEFEATED;The Kraken is Slain\n;La Seiche Géante est vaincue\n;;;El Kraken ha sido vencido\n;;;;;;;;;x
TOOLTIPKRAKENWINS;The Kraken devours our Longships\n;La Seiche Géante dévore nos boutres\n;;;El Kraken devora nuestros barcoluengos\n;;;;;;;;;x
EVTDESCraid_events.61;Victory for the Ironborn! The Kraken was fierce, but not as fierce as the reavers. The Kraken was ultimately slain and our ships saved, we have won much fame and reknown this day.;Victoire pour les Fer-nés! La Seiche Géante était un féroce adverse, mais pas aussi féroce que les Fer-nés! La Seiche Géante a finalement été tuée et nos boutres sont sauvées. En ce jour, nous avons gagné gloire et renommée! ;;;Victoria para los Hijos del Hierro! El Kraken fue un feroz adversario, pero no tan feroz como los Hijos del Hierro! Matamos al Kraken y salvamos nuestros barcoluengos. Este día, hemos ganado fama y gloria!;;;;;;;;;x
EVTOPTAraid_events.61;Even Krakens cower before us!;Même les Seiches Géantes tremblent devant nous!;;;Incluso los Krakens tiemblan delante nuestro!;;;;;;;;;x
EVTDESCraid_events.62;The Kraken was too mighty, too strong. It broke asunder our Longships and pulled many an Ironborn down to the Drowned God's watery halls. ;La Seiche Géante était trop puissante, trop forte. Elle a écrasé et coulé nos boutres comme de vulgaires barques et envoyé de nombreux Fer-nés festoyer dans les demeures liquides du Dieu Noyé.;;;El Kraken era demasiado poderoso, demasiado fuerte. Aplastó y hundió los barcoluengos y envío a muchos Hijos del Hierro a las estancias acuosas del Dios Ahogado.;;;;;;;;;x
EVTOPTAraid_events.62;What is dead may never die;Ce qui est mort ne saurait mourir;;;Lo que está muerto no puede morir.;;;;;;;;;x
EVTDESCraid_events.63;Whilst out at sea, our Longships led by [From.GetFirstNameWithDynasty] encountered a great Kraken which threatened to pull them down! It was fierce, but not as fierce as the Ironborn, we slew the beast and sent it back to the Drowned God!;Alors qu'elles étaient en mer, nos boutres menées par [From.GetFirstNameWithDynasty] ont rencontré une Seiche Géante qui menaçait de les couler! Elle était féroce, mais pas aussi féroce que les Fer-nés, nous l'avons tuée et renvoyée au Dieu Noyé! ;;;Mientras estaban el mar, nuestros barcoluengos liderados por [From.GetFirstNameWithDynasty] se encontraron con un Kraken que amenazaba con hundirlos! Era un monstruo feroz, pero no tan feroz como los Hijos del Hierro, lo matamos y lo envíamos de vuelta al Dios Ahogado!;;;;;;;;;x
EVTDESCraid_events.64;The Drowned God have mercy! Our Longships led by [From.GetFirstNameWithDynasty] encountered a great Kraken which threatened to pull them down! It was too mighty, too strong. It broke asunder our Longships and pulled many an Ironborn down to the Drowned God's watery halls. ;Que le Dieu Noyé ait pitié de nous! Nos boutres menées par [From.GetFirstNameWithDynasty] ont rencontré une Seiche Géante qui menaçait de les couler! Elle était trop puissante, trop forte. Elle a écrasé et coulé nos boutres comme de vulgaires barques et envoyé de nombreux Fer-nés festoyer dans les demeures liquides du Dieu Noyé.;;;Que el Dios Ahogado tenga piedad de nosotros! Nuestros barcoluengos liderados por [From.GetFirstNameWithDynasty] se han encontrado con un Kraken gigante que amenaza de hundirlos! Era demasiado poderoso, demasiado fuerte. Aplastó y hundió los barcoluengos y envío a muchos Hijos del Hierro a las estancias acuosas del Dios Ahogado.;;;;;;;;;x
EVTDESCraid_events.66;[From.GetName] has fallen to our band of reavers, perhaps I should claim a salt wife?;[From.GetName] est tombé face a notre bande de razzieurs. Peut-être devrais-je réclamer une femme-sel ? ;;;[From.GetName] ha caído en manos de nuestra banda de saqueadores. Tal vez debería reclamarla como esposa de sal?;;;;;;;;;x
EVTDESCraid_events.66B;[From.GetName] has fallen to our band of raiders, perhaps I should claim a girl for myself?;[From.GetName] est tombé face a notre bande de razzieurs. Peut-être devrais-je réclamer une femme-sel ? ;;;[From.GetName] ha caído en manos de nuestra banda de saqueadores. Tal vez debería reclamar una chica para mi?;;;;;;;;;x
EVTDESCraid_events.66C;[From.GetName] has fallen to our band of raiders, perhaps I should claim a man for myself?;[From.GetName] est tombé face a notre bande de razzieurs. Peut-être devrais-je réclamer une femme-sel ? ;;;[From.GetName] ha caído en manos de nuestra banda de saqueadores. Tal vez debería reclamar un chico para mi?;;;;;;;;;x
EVTDESCraid_events.66D;[From.GetName] has fallen to our band of reavers, perhaps I should claim a salt husband?;[From.GetName] est tombé face a notre bande de razzieurs. Peut-être devrais-je réclamer une femme-sel ? ;;;[From.GetName] ha caído en manos de nuestra banda de saqueadores. Tal vez debería reclamarla como esposa de sal?;;;;;;;;;x
EVTOPTAraid_events.66;[salt_wife_1.GetSheHeCap] will make a fine [Root.GetMyConsortName];Elle fera une bonne femme-sel.;;;[salt_wife_1.GetSheHeCap] será una buena concubina.;;;;;;;;;x
EVTOPTBraid_events.66;I like the look of [salt_wife_2.GetHerHim];J'aime bien ses formes.;;;Me gusta su aspecto.;;;;;;;;;x
EVTOPTCraid_events.66;Bring [salt_wife_3.GetHerHim] to my ship;Amenez la sur mon boutre.;;;Llevadla a mi barco.;;;;;;;;;x
EVTOPTDraid_events.66;I have no need for this;Je n'ai pas besoin de femme-sel.;;;No tengo necesidad de esto;;;;;;;;;x
EVTDESCraid_events.660;[FromFrom.GetName] has fallen, and [From.GetTitledFirstName] has made me [From.GetHerHis] [Root.GetConsortName]!;[FromFrom.GetName] est tombé, et [From.GetTitledFirstName] a fait de moi sa femme-sel !;;;[FromFrom.GetName] ha caído, y [From.GetTitledFirstName] me ha hecho su esposa de sal!;;;;;;;;;x
