kingsguard;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.51;Your [From.GetRootRelation] [From.GetTitledFirstName] rides into [Root.Location.GetName], blood still seeping from an open wound. [From.GetSheHeCap] attempted to escape [From.Location.GetName] with one of the [From.TopLiege.GetTitle]'s children, but failed.;Votre [From.GetRootRelation] [From.GetFirstName] arrive à [Root.Location.GetName], du sang dégoulinant toujours d'une blessure ouverte. [From.GetSheHeCap] a tenté de s'échapper de [From.Location.GetName] avec l'un des enfants du [From.TopLiege.GetTitle], mais a échoué.;;;Tu [From.GetRootRelation] [From.GetTitledFirstName] llega a [Root.Location.GetName], la sangre aún le gotea de una herida abierta. Trató de escapar de [From.Location.GetName] con uno de los hijos de [From.TopLiege.GetTitle], pero fracasó.;;;;;;;;;x;
EVTDESCkingsguard.52;Your [From.GetRootRelation] [From.GetTitledFirstName] rides into [Root.Location.GetName], dragging a prisoner in tow. Not only did [From.GetSheHe] escape the capital, but [From.GetSheHe] brought one of the [From.TopLiege.GetTitle]'s children with [From.GetHerHim]!;Votre [From.GetRootRelation] [From.GetFirstName] arrive à [Root.Location.GetName], tenant avec fermeté une corde entravant les mains d'un prisonnier. En sus d'être parvenu à s'échapper de la capitale, [From.GetSheHe] a réussi a ramené avec lui l'un des enfants du [From.TopLiege.GetTitle] !;;;Tu [From.GetRootRelation] [From.GetTitledFirstName] llega a [Root.Location.GetName], sosteniendo una cuerda atada firmemente a las manos de un prisionero. Además de ser capaz de escapar de la capital, ¡ha conseguido traer con él uno de los de los hijos de [From.TopLiege.GetTitle].;;;;;;;;;x;
EVTTOOLTIPkingsguard.26;[From.GetTitledFirstNameNoRegnal] won't be so happy about this...;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ne va pas apprécier…;;;A [From.GetTitledFirstNameNoRegnal] no le gustará…;;;;;;;;;x;
EVTDESCkingsguard.31;Someone bungled. [From.GetTitledFirstNameWithDynastyNoRegnal] heard of your plans and attempted to flee. Fortunately, the rest of the Kingsguard intercepted [From.GetHerHim] before [From.GetSheHe] could escape. The traitor is dead.;Quelqu'un a parlé. [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a entendu parler de vos plans et a tenté de fuir. Heureusement le reste de la Garde Royale l'a intercepté avant qu' [From.GetSheHe] ne puisse s'échapper. Le traître est mort.;;;Alguien ha hablado. [From.GetTitledFirstNameWithDynastyNoRegnal] oyó hablar de sus planes y trató de huir. Afortunadamente, el resto de la Guardia le ha interceptado antes de que pudiera escapar. El traidor está muerto.;;;;;;;;;x;
EVTDESCkingsguard.32;When your loyal Kingsguard arrived to arrest [From.GetTitledFirstNameWithDynastyNoRegnal], they found [From.GetSheHe] had already fled [From.Location.GetName]!;Lorsque vos loyaux manteaux blanc sont arrivés pour arrêter [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], ils ont découvert qu' [From.GetSheHe] avait déjà fui [From.Location.GetName] !;;;Cuando tu fiel Guardia Real fue a detener a [From.GetTitledFirstNameWithDynastyNoRegnal], ¡descubrieron que ya había huido de [From.Location.GetName]!;;;;;;;;;x;
EVTDESCkingsguard.39;[From.GetTitledFirstName] and [FromFrom.GetTitledFirstName] became embroiled in a furious duel, giving eachother no quarter. However [FromFrom.GetTitledFirstName] succumbed to [From.GetTitledFirstName]'s wroth, who now turns [From.GetHerHis] sword on you...;[From.GetTitledFirstName] et [FromFrom.GetTitledFirstName] s'affrontent dans un duel sans merci. Mais [FromFrom.GetTitledFirstName] finit par succomber face à la force de [From.GetTitledFirstName], qui tourne maintenant son épée vers vous... ;;;[From.GetTitledFirstName] y [FromFrom.GetTitledFirstName] se enfrentan en un duelo sin cuartel. Pero [FromFrom.GetTitledFirstName] acaba sucumbiendo contra la fuerza de [From.GetTitledFirstName], que vuelve su espada hacia ti... ;;;;;;;;;x;
EVTDESCkingsguard.40;[From.GetTitledFirstName] and [FromFrom.GetTitledFirstName] became embroiled in a furious duel, giving eachother no quarter. Thankfully [From.GetTitledFirstName] proved [From.GetHerHis] valour by defeating your assailant.;[From.GetTitledFirstName] et [FromFrom.GetTitledFirstName] s'affrontent dans un duel sans merci. Heureusement [From.GetTitledFirstName] a prouvé sa valeur en terrassant votre assaillant. ;;;[From.GetTitledFirstName] y [FromFrom.GetTitledFirstName] se enfrentan en un duelo sin cuartel.  Afortunadamente, [From.GetTitledFirstName] ha demostrado su valía al derrotar al asaltante .;;;;;;;;;x;
EVTDESCkingsguard.42;[From.GetTitledFirstNameWithDynastyNoRegnal] was beaten and bloody, but still had the strength to cut through many of my guards and was last seen fleeing on horseback out of the main gate.;[From.GetTitledFirstName] a été battu et saignait abondamment. Mais il avait toujours la force de se frayer un chemin à travers vos gardes. On l'a vu pour la dernière fois aux portes du château, fuyant sur sa monture. ;;;[From.GetTitledFirstNameWithDynastyNoRegnal] ha sido derrotado y sangraba abundantemente. Pero tuvo la fuerza suficiente de abrirse paso a través de los guardias. Se le vió por última vez en las puertas del castillo, huyendo a caballo.;;;;;;;;;x;
EVTDESCkingsguard.45;Night had fallen when [From.GetTitledFirstNameWithDynastyNoRegnal] struck, leaping from the shadows. You cried for the guards, but it turned into a blood-curdling cry of pain as [From.GetSheHe] shoved [From.GetHerHis] sword through your chest. You drop to your knees and your crown falls from your brow. [From.GetTitledFirstName] sheathes [From.GetHerHis] sword and leaves you to your fate.;La nuit vient de tomber lorsque [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se décide à frapper, surgissant des ombres. Vous appellez la garde, mais vos appels se transforment en cris de douleur alors qu'[From.GetSheHe] enfonce son épée dans vos entrailles. Alors que vous vous écroulez, [From.GetTitledFirstName] rengaine son épée et s'en va, vous laissant agoniser sur le sol.;;;La noche había caído cuando [From.GetTitledFirstNameWithDynastyNoRegnal] decidió golpear, apareciendo desde la sombras. Llamas a la guardia, pero las llamadas se convierten en gritos de dolor cuando hunde la espada en tus entrañas. Cuando te desplomas, [From.GetTitledFirstName] envaina su espada y se va, dejándote agonizando en el suelo.;;;;;;;;;x;
EVTDESCkingsguard.53;You are awakened in the middle of the night by one of your guards. He throws [From.GetTitledFirstNameWithDynastyNoRegnal]'s head at your feet. Apparently, the fool tried to kidnap one of your children - and was killed in the attempt.;Vous êtes réveillé au beau milieu de la nuit par l'un de vos gardes. Il dépose la tête de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] devant vous. Apparemment, ce fou a tenté d'enlever l'un de vos enfants et a été tué durant cette folle tentative.;;;Te  despiertas en medio de la noche por uno de tus guardias. Depósita la cabeza de [From.GetTitledFirstNameWithDynastyNoRegnal] ante tí. Al parecer, trató de secuestrar a uno de tus hijos y fue asesinado durante el intento.;;;;;;;;;x;
EVTDESCkingsguard.54;You are awakened in the middle of the night by one of your guards. 'I'm sorry, [Root.PrimaryTitle.GetFOA},' he says. He explains that [From.GetTitledFirstNameWithDynastyNoRegnal] tried to kidnap one of your children, but was driven back by your loyal guards. [From.GetSheHeCap] was wounded, but still managed to escape.;"Vous êtes réveillé au beau milieu de la nuit par l'un de vos gardes. ""Pardonnez moi [Root.PrimaryTitle.GetFOA]"" dit-il, ""Mais il s'est passé quelque chose de grave"". Il raconte que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a tenté d'enlever l'un de vos enfants, mais a été repoussé par vos gardes restés loyaux. [From.GetSheHeCap] a été blessé, mais a réussi a s'échapper. ";;;"Te despiertas en medio de la noche por uno de tus guardias. ""Perdone [Root.PrimaryTitle.GetFOA}"", dijo, ""Ha sucedido algo serio."" Dice que [From.GetTitledFirstNameWithDynastyNoRegnal] ha tratado de secuestrar a uno de tus hijos, pero fue evitado por los guardias que permanecieron leales. [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] fue herido pero logró escapar.";;;;;;;;;x;
EVTDESCkingsguard.55;You are awakened in the middle of the night by one of your guards. 'I'm sorry, [Root.PrimaryTitle.GetFOA],' he says. Horror dawns as he explains that [From.GetTitledFirstNameWithDynastyNoRegnal] has fled [From.Location.GetName] - with one of your own children in tow.;"Vous êtes réveillé au beau milieu de la nuit par l'un de vos gardes. ""Pardonnez moi [Root.PrimaryTitle.GetFOA]"" dit-il, ""Mais il s'est passé quelque chose de grave"". C'est avec horreur que vous apprenez que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] s'est enfuit de [From.Location.GetName] en enlevant au passage l'un de vos enfants. ";;;"Te despiertas en medio de la noche por uno de tus guardias. ""Perdone [Root.PrimaryTitle.GetFOA}"", dijo, ""Ha sucedido algo serio."" Hemos descubierto horrorizdos que [From.GetTitledFirstNameWithDynastyNoRegnal] ha huido de [From.Location.GetName] secuestrando a uno de tus hijos.";;;;;;;;;x;
EVTDESCkingsguard.57;The first you heard that [FromFromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] had asked your [From.GetRootRelation] to join the Kingsguard was when [From.GetSheHe] told you [From.GetSheHe]'d refused.;La première fois que vous avez entendu que [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] avait demandé à votre [From.GetRootRelation] de rejoindre la Garde Royale fut lorsqu' [From.GetSheHe] a dit qu'[From.GetSheHe] avait refusé. ;;;La primera vez que escuchaste que [FromFromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] había pedido a tu [From.GetRootRelation] de unirse a la Guardia Real fue cuando dijo que se negó.;;;;;;;;;x;
EVTDESCkingsguard.58;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] kneels. 'I'm sorry, [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'but someday I will hold lands of my own. My house needs me more than the realm.';"[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] met un genou en terre. ""Pardonnez moi, [Root.PrimaryTitle.GetFOA],"" dit-[From.GetSheHe], ""mais un jour je gouvernerai mes propres terres. Ma maison a plus besoin de moi que le royaume.""'";;;"[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pone una rodilla en el suelo. ""Perdone, [Root.PrimaryTitle.GetFOA]"", dijo, ""Algún dia gobernaré mi propia tierra. Mi casa me necesita mas que el reino."" ";;;;;;;;;x;
EVTDESCkingsguard.59;When the steward told you [From.GetFirstName] was looking for you, you weren't sure what you were expecting. Certainly, you weren't expecting to find [From.GetHerHim] wearing a white cloak! 'Father,' [From.GetSheHe] tells you, beaming with pride, '[FromFrom.GetTitledFirstName] has named me a Knight of the Kingsguard!';"Lorsque l'intendant vous a prévenu que [FromFrom.GetFirstName] vous cherchait, vous ne vous attendiez pas à le(a) voir porter un manteau blanc! ""Père,"" vous dit-[FromFrom.GetSheHe], rayonnant de fierté, ""[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] m'a fait Chevalier de la Garde Royale!""";;;Cuando el mayordomo te dijo que [From.GetFirstName] te estaba buscando, no estabas seguro de lo que podría querer. 'Padre,' dice, sonriendo con orgullo, '[FromFrom.GetTitledFirstName] me ha nombrado caballero de la Guardia Real!;;;;;;;;;x;
EVTDESCkingsguard.60;[From.GetTitledFirstNameWithDynasty] kneels before you. 'As [Root.PrimaryTitle.GetFOA] commands,' [From.GetSheHe] says, 'I hereby renounce my inheritance, to serve as a knight of your Kingsguard.';"[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] s'agenouille devant vous. ""Comme [Root.PrimaryTitle.GetFOA] me l'a ordonné,"" dit-[From.GetSheHe], ""je renonce ici et maintenant à mon héritage pour servir comme chevalier dans votre Garde Royale"". ";;;"[From.GetTitledFirstNameWithDynasty] se arrodilla ante ti. ""Como [Root.PrimaryTitle.GetFOA] me ordene,"" dijo, "" aquí y ahora renuncio a mi herencia para servir como caballero de la Guardia Real.""";;;;;;;;;x;
EVTDESCkingsguard.61;You watch as the traitor in your Kingsguard is dragged away in irons. You are safe once more.;Vous vous permettez un petit soupir de soulagement alors que le traître de la Garde Royale est trainé jusqu'à la sortie, les mains entravées par des chaînes. Vous êtes en sécurité. ;;;Soltaste un pequeño suspiro de alivio cuando el traidor de la Guardia Real es arrastrado con las manos atadas con cadenas. Estás a salvo.;;;;;;;;;x;
EVTDESCkingsguard.62;You look on as the traitor in your Kingsguard is dragged up to the block. In one swift stroke, justice is done.;"Toute la cour est là pour voir le traître de la Garde Royale, dépouillé de son manteau blanc et les bras et les jambes entravées par les chaînes. ""Justicier"", appellez-vous, ""Sa tête"". Un coup d'épée et justice est faîte.";;;"Toda la corte está allí para ver el traidor de la Guardia Real, despojado de su capa blanca y con los brazos y piernas encadenados. ""Verdugo"", gritas, ""su cabeza"". Un golpe de espada y se hizo justicia.";;;;;;;;;x;
EVTDESCkingsguard.1;My duty in guarding my King has finished, let's hope my successor will be vigilent;Mon devoir de protéger le Roi est terminé, espérons que mon successeur sera vigilant;;;Mi deber de proteger el rey ha terminado, espero que mi sucesor esté alerta.;;;;;;;;;x;
EVTOPTAkingsguard.1;Let us hope;Espérons-le;;;Esperemos;;;;;;;;;x;
EVTDESCkingsguard.22;Your kingsguard, [From.GetTitledFirstNameWithDynasty], [From.GetDeathReason] at the age of [From.GetAgeYears] years. A replacement must be selected.;Ce membre de la Garde est mort.;;;Este miembro de la Guardia Real está muerto;;;;;;;;;x;
EVTDESCkingsguard.22B;[From.GetTitledFirstNameWithDynasty] has been removed from [From.GetHerHis] position on the kingsguard. A replacement must be selected.;Ce membre de la Garde est mort.;;;Este miembro de la Guardia Real está muerto;;;;;;;;;x;
EVTOPTAkingsguard.22;OK;Ok;;;Muy bien;;;;;;;;;x;
the_white_book;The White Book;Le Livre Blanc;;;El Libro Blanco;;;;;;;;;x;
the_white_book_desc;Read the tome that records the deeds of every member who has ever served in the history of the Kingsguard;Lire le tome où sont consignés les actes de tous les membres qui ont servi dans la Garde depuis sa création;;;Leer el tomo que registra las hazañas de todos los miembros que han servido en la Guardia desde su creación.;;;;;;;;;x;
EVTDESCkingsguard.65;Here lists all current members of the Kingsguard and notable past members;La liste des membres actuels de la Garde Royale et de certains de ces illustres anciens membres;;;La lista de los actuales miembros de la Guardia Real y algunos ex miembros ilustres.;;;;;;;;;x;
OPTAkingsguard.65;Current Members;Membres actuels ;;;Miembros actuales;;;;;;;;;x;
TOOLTIPKGCOMMANDER;Lord Commander of the Kingsguard of [This.Liege.GetTitledFirstName]: [This.GetTitledFirstNameWithNickAndDynasty];Lord Commandant de la Garde Royale de [This.Liege.GetTitledFirstName]: Ser [This.GetFirstNameWithDynasty]\n;;;Lord Comandante de la Guardia Real de [This.Liege.GetTitledFirstName]: Don [This.GetTitledFirstNameWithNick];;;;;;;;;x;
TOOLTIPKGCURRENT;[This.GetTitledFirstNameWithNickAndDynasty];Ser [This.GetFirstNameWithDynasty]\n;;;Don [This.GetTitledFirstNameWithNick];;;;;;;;;x;
TOOLTIPKGDYNASTY; [This.GetOnlyDynastyName];Ser [This.GetFirstNameWithDynasty]\n;;;[This.GetOnlyDynastyName];;;;;;;;;x;
OPTBkingsguard.65;Notable Past Lord Commander;Anciens Lords Commandants illustres;;;Antiguos Lords Comandantes ilustres;;;;;;;;;x;
OPTCkingsguard.65;Notable Past Member;Anciens membres illustres;;;Antiguos miembros ilustres;;;;;;;;;x;
TOOLTIPKGNOTABLEPASTCOMMANDER;[This.GetTitledFirstNameWithNickAndDynasty] [This.GetKGWhiteBookWasLC][This.GetKGWhiteBookTrait1][This.GetKGWhiteBookTrait2].[This.GetKGWhiteBookIntellect][This.GetKGWhiteBookCombatTrait].[This.GetKGWhiteBookValyrianSteel][This.GetKGWhiteBookDragonRider][This.GetKGWhiteBookAnimalCompanion]\n[This.GetKGWhiteBookTrait3];;;;;;;;;;;;;x;
TOOLTIPKGPASTMEMBER;[This.GetTitledFirstNameWithDynasty][This.GetKGWhiteBookNickname][This.GetKGWhiteBookWasKG][This.GetKGWhiteBookTrait1][This.GetKGWhiteBookTrait2].[This.GetKGWhiteBookIntellect][This.GetKGWhiteBookCombatTrait].[This.GetKGWhiteBookValyrianSteel][This.GetKGWhiteBookDragonRider][This.GetKGWhiteBookAnimalCompanion]\n[This.GetKGWhiteBookTrait3];;;;;;;;;;;;;x;
TOOLTIPKGOFTHEHOUSE;\nSer [This.GetFirstNameWithDynasty];\nSer [This.GetFirstNameWithDynasty];;;\nDon [This.GetFirstNameWithDynasty];;;;;;;;;x;
TOOLTIPKGKNOWNNICK;, also known as [This.GetFirstNameWithNick], ;, aussi connu comme [This.GetFirstNameWithNick],;;;, también conocido como [This.GetFirstNameWithNick],;;;;;;;;;x;
TOOLTIPKGWASLC;was a Lord Commander of the Kingsguard; fût Lord Commandant de la Garde Royale;;;fue Lord Comandante de la Guardia Real;;;;;;;;;x;
TOOLTIPKGGENIUS; As well as being a knight of fierce intellect,;En sus d'être un chevalier fort intelligent,;;;Además de ser un caballero inteligente,;;;;;;;;;x;
TOOLTIPKGMASTERWARRIOR; [This.GetTitledFirstNameNoRegnal] was one of the greatest warriors of [This.GetHerHis] generation, [This.GetHerHis] martial prowess being famed throughout the Kingdom;[This.GetSheHeCap] fût l'un des plus grands guerriers de sa génération, ses prouesses au combat étaient célébrées dans tout le royaume.;;;[This.GetSheHeCap] fue uno de los más grandes guerreros de su generación, su destreza en combate se recuerda en todo el reino.;;;;;;;;;x;
TOOLTIPKGGENIUSDESPITE; Despite being a knight of fierce intellect,;Malgré qu'il était un chevalier fort intelligent,;;;Aunque él era un caballero muy inteligente,;;;;;;;;;x;
TOOLTIPKGSKILLEDWARRIOR; [This.GetTitledFirstNameNoRegnal] was a well respected swords[This.GetManWoman], being one of the more capable members of the Kingsguard in its history;[This.GetSheHeCap] fut un bretteur respecté, l'un des membres les plus capable de l'histoire de la Garde Royale.;;;[This.GetSheHeCap] era un espadachín respetado, uno de los más capacitados de la historia de la Guardia Real.;;;;;;;;;x;
TOOLTIPKGPOORWARRIOR; [This.GetTitledFirstNameNoRegnal] was a knight of little ability, probably acquiring [This.GetHerHis] position through [This.GetHerHis] influence rather than martial prowess;[This.GetSheHeCap] était un chevalier bien médiocre, ayant probablement acquis sa position grâce à son influence plutôt qu'à ses prouesses sur le champ de bataille.;;;[This.GetSheHeCap] era un caballero mediocre, que probablemente adquirió su posición a través de la influencia en lugar de su destreza en el campo de batalla.;;;;;;;;;x;
TOOLTIPKGDRAGON; Famously, [This.GetTitledFirstNameNoRegnal] was known to be a dragon rider;Ser [This.GetFirstName] était connu pour être un chevaucheur de dragon;;;Don [This.GetFirstName] era conocido por ser un Jinete de Dragón;;;;;;;;;x;
TOOLTIPKGANIMALaswellas; as well as the owner of a [This.GetAnimalCompanion]; ainsi que le propriétaire d'un loup garou;;;así como el propietario de un lobo huargo;;;;;;;;;x;
TOOLTIPKGVALYRIANSTEEL; [This.GetTitledFirstNameNoRegnal] wielded [This.GetValyrianSword], greatly aiding [This.GetHerHis] ability to protect [This.GetHerHis] liege;Ser [This.GetFirstName] maniait une épée d'acier valyrien, une aide précieuse pour défendre son Roi;;;Don [This.GetFirstName] esgrimió una espada de acero valyrio, una valiosa ayuda para defender a su rey;;;;;;;;;x;
TOOLTIPKGDAWN; [This.GetTitledFirstNameNoRegnal] wielded the famous greatsword Dawn, the ancestral blade of House Dayne;Ser [This.GetFirstName] maniait la fameuse épée Aube, l'épée ancestrale de la Maison Dayne;;;Don [This.GetFirstName] blandió el famoso mandoble Albor, la espada ancestral de la Casa Dayne;;;;;;;;;x;
TOOLTIPKGICE; [This.GetTitledFirstNameNoRegnal] wielded the famous Valyrian steel greatsword Ice, the ancestral blade of House Stark;Ser [This.GetFirstName] maniait la fameuse épée valyrienne Glace, l'épée ancestrale de la Maison Stark;;;Don [This.GetFirstName] blandió el famoso mandoble de acero valyrio Hielo, la espada ancestral de la Casa Stark;;;;;;;;;x;
TOOLTIPKGLONGCLAW; [This.GetTitledFirstNameNoRegnal] wielded the Valyrian steel sword Longclaw, the ancestral blade of House Mormont;Ser [This.GetFirstName] maniait l'épée valyrienne Grand-Griffe, l'épée ancestrale de la Maison Mormont;;;Don [This.GetFirstName] empuñó la espada bastarda de acero valyrio Garra, la espada ancestral de la Casa Mormont;;;;;;;;;x;
TOOLTIPKGBLACKFYRE; [This.GetTitledFirstNameNoRegnal] wielded the famous Valyrian steel greatsword Blackfyre, once the weapon of Aegon the Conqueror;Ser [This.GetFirstName] l'épée valyrienne Feunoyr, autrefois l'épée d'Aegon le Conquérant;;;Don [This.GetFirstName] esgrimió la famosa espada bastarda de acero valyrio Fuegoscuro, que fue el arma de Aegon el Conquistador;;;;;;;;;x;
TOOLTIPKGDRAGONAND; , and famously was known to be a dragon rider;, et était connu pour être un chevaucheur de dragon;;;,y se sabía que era un Jinete de Dragón;;;;;;;;;x;
TOOLTIPKGANIMALAND; , and famously was known to be the owner of a [This.GetAnimalCompanion];, et était connu pour être le propriétaire d'un loup garou;;;,y era conocido por ser el dueño de un lobo huargo;;;;;;;;;x;
TOOLTIPKGANIMAL; [This.GetTitledFirstNameNoRegnal] was known to be the owner of a [This.GetAnimalCompanion];Ser [This.GetFirstName] était connu pour être le propriétaire d'un loup garou;;;Don [This.GetFirstName] era conocido por ser el dueño de un lobo huargo;;;;;;;;;x;
TOOLTIPKGKINSLAYER;[This.GetSheHeCap] will be remebered in history mainly for being a kinslayer, acursed among men.; .L'histoire retiendra surtout qu'[This.GetSheHeCap] fut un parricide, maudit entre tous les hommes;;;. La Historia recordará que fue un regicida, maldito entre todos los hombres.;;;;;;;;;x;
TOOLTIPKGDWARF;The greatest farce of [This.GetHerHis] story is the fact [This.GetSheHe] was a dwarf.;. La plus grande farce de son histoire est sûrement le fait qu'il était un nain.;;;. La farsa más grande de su historia es probablemente el hecho de que era un enano.;;;;;;;;;x;
TOOLTIPKGDURINGKING;was a Lord Commander of the Kingsguard during the reign of [This.Liege.GetTitledFirstNameoftheHouse]; durant le règne de [This.Liege.GetTitledFirstName] de la Maison [This.Liege.GetOnlyDynastyName];;;durante el reinado de [This.Liege.GetTitledFirstName] de la Casa [This.Liege.GetOnlyDynastyName];;;;;;;;;x;
TOOLTIPKGENDLINE;.\n;.\n;;;.\n;;;;;;;;;x;
TOOLTIPKGWASMEM;was a member of the Kingsguard; était un membre de la Garde Royale;;;fue un miembro de la Guardia Real;;;;;;;;;x;
TOOLTIPKGMEMDURINGKING;was a member of the Kingsguard during the reign of [This.Liege.Liege.GetTitledFirstNameoftheHouse]; durant le règne de [This.Liege.Liege.GetTitledFirstName] de la Maison [This.Liege.Liege.GetOnlyDynastyName];;;durante el reinado de [This.Liege.Liege.GetTitledFirstName] de la Casa [This.Liege.Liege.GetOnlyDynastyName];;;;;;;;;x;
TOOLTIPKGHONOURABLE; and was a knight of the highest honor; et fut un chevalier d'un très grand honneur;;;y fue un caballero del más alto honor;;;;;;;;;x;
TOOLTIPKGRUTHLESS; who didn't let anyone stand in [This.GetHerHis] way; qui ne laissait personne lui barrer le chemin;;;que no permitía a nadie interponerse en su camino;;;;;;;;;x;
TOOLTIPKGBRAVE; who was known to be most courageous; qui était connu pour être courageux;;;que era conocido por ser valiente;;;;;;;;;x;
TOOLTIPKGDILIGENT; and was unyielding in [This.GetHerHis] devotion to their vows; et resta inflexible quant au respect de ses vœux;;;y se mantuvo firme en el respeto a sus votos;;;;;;;;;x;
TOOLTIPKGKIND; who was known to be compassionate; qui était connu pour sa compassion;;;que era conocido por su compasión;;;;;;;;;x;
TOOLTIPKGLUNATIC; whose sanity was regularly questioned; dont la santé d'esprit était régulièrement soumise à question;;;cuya cordura fue cuestionada regularmente;;;;;;;;;x;
TOOLTIPKGDRUNKARD; who was remembered as being fond of wine and ale; qui était connu pour son amour inconditionnel du vin et du houblon;;;que era conocido por su adicción al vino y a la cerveza;;;;;;;;;x;
TOOLTIPKGLUSTFUL; who was well known for their amorous adventures despite [This.GetHerHis] vows; qui était bien connu pour ses aventures amoureuses malgré ses voeux;;;que era bien conocido por sus aventuras amorosas a pesar de sus votos;;;;;;;;;x;
TOOLTIPKGLUTTONOUS; who was immensely fat; qui était gras;;;que era sumamente gordo;;;;;;;;;x;
TOOLTIPKwroth; who was known to have dark moods; qui était connu pour sa mauvaise humeur;;;que era conocido por su mal carácter;;;;;;;;;x;
TOOLTIPKhumble; who was remembered as being a humble knight; qui était connu pour sa grande humilité;;;que era conocido por su gran humildad;;;;;;;;;x;
TOOLTIPKGfair; as well as being most fair to look upon; ainsi qu'un bellâtre;;;además de ser guapo;;;;;;;;;x;
TOOLTIPKGstrong; as well as possessing immense strength; et qui possédait une force immense;;;y poseía una fuerza inmensa;;;;;;;;;x;
TOOLTIPKGtall; as well as towering above common men; et qui dépassait tout le monde de plusieurs têtes;;;además de estar por encima de los hombres comunes;;;;;;;;;x;
TOOLTIPKGweak; as well as being surprisingly weak; et qui était incroyablement faible;;;y era increíblemente débil;;;;;;;;;x;
TOOLTIPKGugly; as well as being incredibly foul to look upon; ainsi qu'un laideron;;;además de ser feo;;;;;;;;;x;
TOOLTIPKGTRAINEDWARRIOR; [This.GetTitledFirstNameNoRegnal] was merely a competent swordsman, and not a warrior songs are written of;[This.GetSheHeCap] était un bon bretteur, mais pas de ces guerriers dont font état les chansons.;;;fue un buen espadachín, aunque no se cantaran canciones de sus hazañas.;;;;;;;;;x;
EVTDESCkingsguard.66;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] has chosen to trust you inspite of your family being at war with the crown.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a choisi de vous faire confiance en dépit de votre famille en guerre avec la couronne.;;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha optado por confiar en ti a pesar de que su familia está en guerra con la corona.;;;;;;;;;x;
EVTOPTAkingsguard.66;My duty is to serve my House.;Mon devoir est de servir ma maison.;;;Mi deber es servir a mi Casa.;;;;;;;;;x;
EVTOPTBkingsguard.66;My duty is to serve the Crown.;Mon devoir est de servir la Couronne.;;;Mi deber es servir a la Corona.;;;;;;;;;x;
TOOLTIPKGBRIGHTROAR;Ser [This.GetFirstName] wielded the Valyrian steel sword Brightroar, the once lost ancestral blade of House Lannister;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Rugissante, la lame ancestrale de la maison Lannister qui fut perdue ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio Rugido, hoja ancestral de la Casa Lannister, que se había perdido;;;;;;;;;x;
TOOLTIPKGHEARTSBANE;Ser [This.GetFirstName] wielded the Valyrian steel sword Heartsbane, the ancestral blade of House Tarly;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Corvenin, la lame ancestrale de la maison Tarly ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio, Veneno de Corazón, hoja ancestral de la casa Tarly;;;;;;;;;x;
TOOLTIPKGNIGHTFALL;Ser [This.GetFirstName] wielded the Valyrian steel sword Nightfall, the ancestral blade of House Harlaw;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Crépuscule, la lame ancestrale de la maison Harloi;;;Don [This.GetFirstName] empuñó la espada de acero valyrio, Anochecer, hoja ancestral de la casa Harlaw;;;;;;;;;x;
