#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Province cultures will never be converted.;Les cultures provinciales ne seront jamais converties;;;Las culturas de las provincias nunca cambiaran.;;;;;;;;;x
RULE_R_L_J_OFF_DESC;R+L=J DISABLED §RSPOILER WARNING: DO NOT ENABLE THIS IF YOU DON'T KNOW WHAT IT IS§!;R+L=J DESACTIVER §RATTENTION SPOILER : NE PAS ACTIVER SI VOUS NE SAVEZ PAS CE QUE C'EST§!;;;R+L=J DESHABILITADO §RADVERTENCIA DE SPOILER: NO ACTIVE ESTO SI NO SABE LO QUE ES§!;;;;;;;;;x
RULE_R_L_J_ON_DESC;R+L=J §GENABLED§! §RSPOILER WARNING: DO NOT ENABLE THIS IF YOU DON'T KNOW WHAT IT IS§!;R+L=J §GACTIVER§! §RATTENTION SPOILER : NE PAS ACTIVER SI VOUS NE SAVEZ PAS CE QUE C'EST§!;;;R+L=J §GHABILITADO§! §RADVERTENCIA DE SPOILER: NO ACTIVE ESTO SI NO SABE LO QUE ES§!;;;;;;;;;x
RULE_EPIDEMICS_DEADLY_DESC;The Great Spring Sickness will appear frequently and be extraordinarily deadly. §RWARNING: This setting is not recommended for a normal game!§!;Le Fléau de Printemps apparaît fréquemment et est extraordinairement meurtrier. §RCette règle n'est pas recommandée pour une partie normale.§!;Die Beulenpest bricht häufig aus und ist äußerst tödlich. §RWARNUNG: Diese Einstellung wird für normale Spiele nicht empfohlen!§!;;La Gran Epidemia Primaveral aparecerá con frecuencia y será extraordinariamente mortal. §RADVERTENCIA: ¡No se recomienda este ajuste para un juego normal!§!;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC_DESC;The Great Spring Sickness will appear at the very earliest in the year 8300, and 25 years after the game has started. After one major outbreak the epidemic will become endemic.;Le Fléau de Printemps apparaîtra au plus tôt à l'an 8300, et 25 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens im Jahre 1100 und 25 Jahre nach Spielstart aus. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Gran Epidemia Primaveral aparecerá como muy pronto en el año 8300, y 25 años después de comenzar la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DESC;The Great Spring Sickness will appear at the very earliest 50 years after the game has started, and might reappear 300 years after game start. After one major outbreak the epidemic will become endemic.;Le Fléau de Printemps apparaîtra au plus tôt 50 ans après le début de la partie et peut réapparaitre 300 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens 200 Jahre nach Spielstart aus und kann 500 Jahre nach Spielstart erneut auftreten. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Gran Epidemia Primaveral aparecerá como muy pronto 50 años después de comenzar la partida y puede reaparecer 300 años después del comienzo de la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_HISTORICAL_DESC;The Great Spring Sickness will appear in the year 8209.;Le Fléau de Printemps apparaîtra en 8209.;Die Beulenpest bricht im Jahr 1345 aus und folgt dem historischen Verlauf.;;La Gran Epidemia Primaveral aparecerá en el año 8209.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;A Sunset Invasion will occur at a random date, though at the earliest 75 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt 75 ans après le début de la partie.;Die Aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión azteca ocurrirá en una fecha al azar, aunque como muy pronto, 75 años después de empezar el juego.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;A Sunset Invasion will not occur.;L'invasion aztèque ne se produira pas.;Die Aztekische Invasion findet nicht statt.;;La invasión azteca no ocurrirá.;;;;;;;;;x
RULE_AZTEC_INVASION;Sunset Invasion;Invasion aztèque (§BInvasion du Soleil Couchant§!);§BSunset Invasion:§! Aztekische Invasion;;Invasión Azteca;;;;;;;;;x
RULE_RAIDING_OFF_DESC;No character is allowed to raid, with the sole exception of Raiding Adventurers.;Aucun personnage n'est autorisé à piller, à part les aventuriers.;Nur Plündererabenteurer können Raubzüge durchführen. §RWARNUNG: Dadurch werden auch Wikingerüberfälle deaktiviert!§!;;Ningún personaje podrá realizar incursiones, con la única excepción de Aventureros Asaltantes.;;;;;;;;;x
RULE_DEF_ATTRITION_ON_DESC;Invaders suffer harsh attrition in the lands of many religions.;Les envahisseurs subissent une sévère attrition sur les terres de nombreuses religions.;Invasoren leiden in den Ländern vieler heidnischer Religionen unter starker Zermürbung, wenn die Technologiestufe ihrer militärischen Organisation zu niedrig ist.;;Los invasores sufrirán fuerte desgaste en las tierras de muchas religiones.;;;;;;;;;x
RULE_DEF_ATTRITION_OFF_DESC;There is no special defensive attrition in any lands.;Il n'y a pas d'attrition défensive spéciale sur aucune terre.;In heidnischen Ländern gibt es keine spezielle Defensivzermürbung.;;No hay un desgaste defensivo especial en ninguna tierra.;;;;;;;;;x
RULE_OPTION_CANON;Canon;Canon;;;Canon;;;;;;;;;x
RULE_FABRICATING_CLAIMS;§RAGoT:§! Fabricating Claims;Fabriquer des revendication;;;Fabricar Reclamaciones;;;;;;;;;x
RULE_FABRICATING_CLAIMS_ON_DESC;It is possible to fabricate claims.;Il est possible de fabriquer des revendications;;;Es posible fabricar reclamaciones.;;;;;;;;;x
RULE_FABRICATING_CLAIMS_FASTER_DESC;It takes 50% less time on average to fabricate claims.;En moyenne, fabriquer des revendications prend moins de temps;;;Se necesita un 50% menos de tiempo para fabricar reclamaciones.;;;;;;;;;x
RULE_FABRICATING_CLAIMS_SLOWER;Slower;Plus lent;;;Más lento;;;;;;;;;x
RULE_FABRICATING_CLAIMS_SLOWER_DESC;It takes twice as long on average to fabricate claims.;En moyenne, fabriquer des revendications prend plus de temps;;;Se tarda el doble en fabricar reclamaciones.;;;;;;;;;x
RULE_FABRICATING_CLAIMS_OFF_DESC;It is §RNOT§! is possible to fabricate claims.;Il n'est §RPAS§! possible de fabriquer des revendications.;;;§RNO§! es posible fabricar reclamaciones.;;;;;;;;;x
DYNAMIC_COA;§RAGoT:§! Dynamic Coats of Arms;;;;Escudos de Armas Dinámicos;;;;;;;;;x
RULE_DYNAMIC_COA_DEFAULT_DESC;Any ruler, High Lord or above, who belongs to a dynasty that has access to the dynamic coats of arms system will use their House Sigil for their primary title's flag.;;;;Cualquier gobernante que pertenezca a una dinastía que tenga acceso al sistema dinámico de escudos de armas usará su Lema de su Casa como bandera de su título principal.;;;;;;;;;x
RULE_OPTION_DYNAMIC_COA_DYNASTY_HEAD;Dynasty Head;;;;Cabeza de la Dinastía;;;;;;;;;x
RULE_OPTION_DYNAMIC_COA_DYNASTY_HEAD_DESC;Only the ruler who is the dynasty head of House has access to the dynamic coats of arms system will use their House Sigil for their primary title's flag.;;;;Solo el gobernante que es el jefe de la dinastía de la Casa tiene acceso al sistema dinámico de escudos de armas usará su Lema de Casa como la bandera de su título principal.;;;;;;;;;x
RULE_DYNAMIC_COA_OFF_DESC;The dynamic coats of arms will §RNOT§! be used, the default flags will be shown instead.;;;;Los escudos de armas dinámicos §RNO§! se usarán, las banderas predeterminadas se mostrarán en su lugar.;;;;;;;;;x
RULE_OPTION_FULL;Full;;;;;;;;;;;;;x
RULE_DYNAMIC_COA_FULL_DESC;Any title above baron uses Dynamic Coat of Arms. §RWARNING: May be heavy on performance!§!;;;;;;;;;;;;;x
RULE_GROUP_LORE;Lore;;;;Lore;;;;;;;;;x
RULE_GROUP_INVASIONS;Invasions;;;;Invasiones;;;;;;;;;x
RULE_GROUP_DRAGONS;Dragons;;;;Dragones;;;;;;;;;x
RULE_GROUP_CONVERSION;Conversions;;;;Conversiones;;;;;;;;;x
RULE_GROUP_REVOLTS;Revolts;;;;Revueltas;;;;;;;;;x
RULE_GROUP_REALM;Realm Management;;;;Gestión del Reino;;;;;;;;;x
RULE_GROUP_COLONISATION;Colonisation;;;;Colonización;;;;;;;;;x
RULE_GROUP_GAME_STARTUP;Game Startup;;;;Puesta en marcha de Juego;;;;;;;;;x
RULE_OPTION_DEFAULT_DEJURE;Unrestricted;;;;Sin Restringir;;;;;;;;;x
RULE_OPTION_LESS_RESTRICTED;Less Restricted;;;;Menos Restringido;;;;;;;;;x
RULE_SEIZE_VALYRIAN_SWORDS;§RAGoT:§! Artifact Revocation;;;;Confiscar Artefactos;;;;;;;;;x
RULE_SEIZE_VALYRIAN_SWORD_DEFAULT_DESC;High value artifacts can only be seized from a prisoner if it is either an ancestral artifact of the captor's house, or the artifact was previously stolen from the captor.;;;;Los artefactos de alto valor solo puede ser confiscados de un prisionero si artefactos ancestrales de la Casa del captor, o si el artefacto fue previamente robado del captor.;;;;;;;;;x
RULE_SEIZE_VALYRIAN_SWORD_UNRESTRICTED_DESC;High value artifacts can be seized from prisoners without restriction;;;;Los artefactos de alto valor pueden ser confiscado de prisioneros sin restricción.;;;;;;;;;x
RULE_TARG_COIN_FLIP;§RAGoT:§! Targaryen Coin Flip;;;;Lanzamiento de Moneda Targaryen;;;;;;;;;x
RULE_TARG_COIN_FLIP_DEFAULT_DESC;House §YTargaryen§! and its §Ycadet dynasties§! experience the coin flip event, possibly granting good or bad traits.;;;;La casa §YTargaryen§! y sus dinastías y §Yramas cadetes§! experimentan el evento de lanzamiento de moneda, otorgando rasgos buenos o malos.;;;;;;;;;x
RULE_OPTION_COIN_FLIP_HIGH_VALYRIAN;All High Valyrians;;;;Todos los Altos Valyrios;;;;;;;;;x
RULE_TARG_COIN_FLIP_HIGH_VALYRIAN_DESC;All §YHigh Valyrian§! characters experience the coin flip event;;;;Todos los §YAltos Valyrios§! experimentan el evento de lanzamiento de moneda;;;;;;;;;x
RULE_TARG_COIN_FLIP_OFF_DESC;The coin flip event is §Rdisabled§!;;;;El evento de lanzamiento de moneda estará §Rdesactivado§!;;;;;;;;;x
RULE_DEMAND_RELIGIOUS_CONVERSION;§RAGoT:§! Demand Religious Conversion;;;;Demandar Conversión Religiosa;;;;;;;;;x
RULE_DEMAND_RELIGIOUS_CONVERSION_DEFAULT_DESC;Most rulers cannot demand their vassals convert to their religion. (Only Andals during the Andal Invasion);;;;La mayoría de los gobernantes no pueden exigir que sus vasallos se conviertan a su religión. (Solo los Ándalos durante la Invasión Ándala).;;;;;;;;;x
RULE_DEMAND_RELIGIOUS_CONVERSION_UNRESTRICTED_DESC;Any ruler can demand their vassals convert to their religion.;;;;Cualquier gobernante puede exigir que sus vasallos se conviertan a su religión.;;;;;;;;;x
RULE_SEIZE_VALYRIAN_SWORD_LESS_RESTRICTED_DESC;Artifacts can also be seized from a prisoner if they have been declared a traitor and the captor has no honour.;;;;Los artefactos también pueden ser confiscados a un prisionero si han sido declarados traidores y el captor no tiene honor.;;;;;;;;;x
RULE_SLAVERY;§RAGoT:§! Slavery;;;;Esclavitud;;;;;;;;;x
RULE_SLAVERY_ON_DESC;The slavery system is enabled;;;;El sistema de esclavitud está habilitado;;;;;;;;;x
RULE_SLAVERY_OFF_DESC;The slavery system is disabled. This may reduce multiplayer de-syncs.;;;;El sistema de esclavitud está deshabilitado. Esto puede reducir las desincronizaciones en multijugador.;;;;;;;;;x
RULE_EDUCATION_COSTS_VANILLA;Vanilla System;;;;Sistema Vanilla;;;;;;;;;x
RULE_EDUCATION_COSTS_VANILLA_DESC;The vanilla education system is used with no modifications. Mod education specialisations will NOT be used if Conclave DLC is inactive.;;;;Se usará el sistema de educación vanilla sin modificaciones. Las educaciones especiales del Mod no serán usadas si el DLC Conclave está inactivo.;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT;§RAGoT:§! Family Titles Entitlement;;;;Reclamaciones de Títulos por Familiares;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT_DEFAULT_DESC;Unlanded close relatives of a ruler are entitled to demand a spare lordship or castle for themselves. Refusal may incur tyranny.;;;;Los familiares cercanos del gobernante sin tierras tienen el derecho a reclamar para ellos un castillo o tierras sobrantes. El rechazo de la petición puede que genere tiranía.;;;;;;;;;x
RULE_OPTION_CLOSE_FAMILY;Immediate Family;;;;Familia Inmediata;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT_CLOSE_DESC;Only unlanded children, grandchildren or siblings of a ruler are entitled to demand a spare lordship or castle for themselves. Refusal may incur tyranny.;;;;Solo hijos, nietos o hermanos sin tierras del gobernante tienen el derecho de reclamar para ellos un castillo o tierras sobrantes. El rechazo de la petición puede que genere tiranía.;;;;;;;;;x
RULE_OPTION_NO_TYRANNY;No Tyranny;;;;Sin Tiranía;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT_NO_TYRANNY_DESC;Unlanded close relatives of a ruler are entitled to demand a spare lordship or castle for themselves. Refusal will NOT incur tyranny.;;;;Los familiares cercanos del gobernante sin tierras tienen el derecho a reclamar para ellos un castillo o tierras sobrantes. El rechazo de la petición NO producirá tiranía.;;;;;;;;;x
RULE_OPTION_CLOSE_FAMILY_PLUS_TYRANNY;Immediate & No Tyranny;;;;Inmediato & Sin Tiranía;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT_CLOSE_TYRANNY_DESC;Only unlanded children, grandchildren or siblings of a ruler are entitled to demand a spare lordship or castle for themselves. Refusal will NOT incur tyranny.;;;;Solo hijos, nietos o hermanos sin tierras del gobernante tienen el derecho de reclamar para ellos un castillo o tierras sobrantes. El rechazo de la petición NO producirá tiranía.;;;;;;;;;x
RULE_FAMILY_TITLES_ENTITLEMENT_OFF_DESC;Relatives are NOT entitled to demand spare lordships or castles for themselves.;;;;Los familiares del gobernante NO tienen el derecho a reclamar para ellos un castillo o tierras sobrantes.;;;;;;;;;x
EVTDESC_GR_566;Would you like divine blood and valyrian AI marriage decisions to be managed? The frequency of incestuous divine blood marriages will be decreased, and betrothals to old women and children/grandchildren may be removed. The AI may also seek out matches to valyrian ethnicity spouses.;;;;¿Querríais que los matrimonios valyrios y de sangres divinas hechos por la IA sean gestionados? La frecuencia de matrimonios incestuosos de sangre divina sera menor, y los compromisos con mujeres mayores hijos/nietos serán removidos. La IA puede que también busque parejas para esposas de etnia valyria.;;;;;;;;;x
EVTDESC_GR_567;Would you like female character AI marriage decisions to be managed? Non-matrilineal marriages of female rulers, heirs and children in cognatic realms may be cancelled if the spouse is not of a higher rank. This is to better preserve the lineage of dynasties.;;;;¿Querríais que los matrimonios de las mujeres hechos por la IA sean gestionados? Los matrimonios no matriliniales de mujeres gobernantes, herederas y niñas en reinos cognáticos puede que sean cancelados si el esposo no es de un rango mayor. Esto es para preservar los linages de las dinastías.;;;;;;;;;x
EVTDESC_GR_568;Would you like nomadic AI marriage decisions to be managed? Marriages to far away Dothraki and nomads may be cancelled if they do not grant any strategic benefit.;;;;¿Querríais que los matrimonios con nómadas hechos por la IA sean gestionados? Los matrimonios con los lejanos Dothraki y otros nómadas serán cancelados si no aportan ningún beneficio estratégico.;;;;;;;;;x
EVTDESC_GR_569;Would you like the marriage decisions of landless heirs, pretenders and dragon riders to be managed? These landless characters may seek to cancel a marriage if they do not think it will benefit them.;;;;¿Querríais que los matrimonios de los herederos, pretendientes y jinetes de dragon sin tierras sean gestionados? Estos personajes sin tierras puede que cancelen un matrimonio si piensan que no obtienen ningún beneficio de él.;;;;;;;;;x
GR.YES;Yes, manage the AI in this way;;;;Si, controla la IA de esta forma;;;;;;;;;x
RULE_OPTION_NO_RULERS;Low Tier Only;;;;Solo Bajo Rango;;;;;;;;;x
RULE_MARTIAL_HEADGEAR_NO_RULERS;Characters lord tier and below leading armies will wear martial headgear.;;;;Los personajes de rango Señor o inferior que lideren ejércitos llevarán cascos marciales.;;;;;;;;;x
